study,1+1 prior,In- and exclusion priors,difference
Appenzeller-Herzog_2019 IEC,0.055,0.066,0.011
Bos_2018 IEC,0.012,0.017,0.005
Brouwer_2019 IEC,0.008,0.008,-0.0
Chou_2003 IEC,0.116,0.121,0.006
Chou_2004 IEC,0.351,0.239,-0.112
Donners_2021 IEC,0.107,0.114,0.008
Hall_2012 IEC,0.008,0.008,-0.0
Jeyaraman_2020 IEC,0.109,0.108,-0.002
Leenaars_2019 IEC,0.004,0.004,0.0
Leenaars_2020 IEC,0.112,0.113,0.001
Meijboom_2021 IEC,0.085,0.09,0.005
Menon_2022 IEC,0.114,0.098,-0.016
Moran_2021 IEC,0.36,0.385,0.026
Muthu_2021 IEC,0.188,0.191,0.003
Nelson_2002 IEC,0.162,0.163,0.001
Oud_2018 IEC,0.078,0.072,-0.007
Radjenovic_2013 IEC,0.025,0.026,0.0
Sep_2021 IEC,0.275,0.277,0.002
Smid_2020 IEC,0.042,0.037,-0.005
van_der_Waal_2022 IEC,0.054,0.054,-0.0
van_de_Schoot_2017 IEC,0.016,0.022,0.006
van_de_Valk_2021 IEC,0.178,0.174,-0.005
van_Dis_2020 IEC,0.074,0.071,-0.003
Walker_2018 IEC,0.081,0.079,-0.002
Wassenaar_2017 IEC,0.032,0.029,-0.002
Wolters_2018 IEC,0.034,0.035,0.001
