record_id,td_sim_0,td_sim_1,record_atd
142,293.0,258.0,275.5
346,43.0,56.0,49.5
497,1690.0,1725.0,1707.5
555,31.0,39.0,35.0
600,224.0,244.0,234.0
753,87.0,34.0,60.5
774,13.0,118.0,65.5
862,44.0,58.0,51.0
886,220.0,234.0,227.0
1262,14.0,119.0,66.5
1309,34.0,55.0,44.5
1440,133.0,152.0,142.5
1606,101.0,138.0,119.5
1655,32.0,40.0,36.0
1788,86.0,106.0,96.0
1888,,44.0,44.0
1980,92.0,156.0,124.0
2047,115.0,140.0,127.5
2280,126.0,176.0,151.0
2293,8.0,49.0,28.5
2334,10.0,46.0,28.0
2528,25.0,51.0,38.0
2714,245.0,269.0,257.0
2798,46.0,71.0,58.5
2839,66.0,86.0,76.0
2847,478.0,545.0,511.5
average_simulation_TD,170.24,192.65384615384616,
