record_id,td_sim_0,td_sim_1,record_atd
383,473.0,478.0,475.5
399,8.0,140.0,74.0
412,67.0,201.0,134.0
2035,1186.0,1234.0,1210.0
3076,177.0,235.0,206.0
4169,65.0,162.0,113.5
5287,15.0,147.0,81.0
5477,184.0,243.0,213.5
7476,1438.0,1573.0,1505.5
9167,524.0,579.0,551.5
9485,153.0,232.0,192.5
9878,185.0,245.0,215.0
11774,267.0,471.0,369.0
11803,19.0,137.0,78.0
12321,12.0,154.0,83.0
12605,68.0,167.0,117.5
13043,211.0,272.0,241.5
13509,2803.0,3197.0,3000.0
15365,3063.0,2619.0,2841.0
16211,1060.0,1057.0,1058.5
16870,9.0,138.0,73.5
16978,10.0,132.0,71.0
17368,227.0,281.0,254.0
18057,73.0,175.0,124.0
18487,216.0,273.0,244.5
20513,149.0,229.0,189.0
20933,75.0,177.0,126.0
21140,639.0,751.0,695.0
22307,205.0,319.0,262.0
24076,214.0,270.0,242.0
24549,56.0,143.0,99.5
25151,69.0,165.0,117.0
25248,13.0,146.0,79.5
25549,608.0,599.0,603.5
25999,571.0,782.0,676.5
26496,47.0,116.0,81.5
26747,109.0,215.0,162.0
26768,340.0,430.0,385.0
26957,1450.0,1516.0,1483.0
26999,486.0,634.0,560.0
27034,27.0,366.0,196.5
27074,,538.0,538.0
27196,14.0,153.0,83.5
28038,1572.0,2050.0,1811.0
28163,142.0,260.0,201.0
28653,228.0,266.0,247.0
28757,89.0,204.0,146.5
28843,202.0,249.0,225.5
30048,395.0,446.0,420.5
30807,215.0,274.0,244.5
33245,34.0,161.0,97.5
33297,54.0,220.0,137.0
33545,110.0,225.0,167.5
33568,226.0,271.0,248.5
34125,38.0,133.0,85.5
34210,244.0,287.0,265.5
34825,79.0,166.0,122.5
35085,94.0,178.0,136.0
35647,66.0,164.0,115.0
36193,23.0,159.0,91.0
36578,7.0,141.0,74.0
37216,63.0,145.0,104.0
average_simulation_TD,351.9016393442623,453.06451612903226,
