record_id,td_sim_0,td_sim_1,record_atd
68,150.0,297.0,223.5
228,38.0,177.0,107.5
259,94.0,202.0,148.0
273,203.0,302.0,252.5
373,54.0,154.0,104.0
497,50.0,225.0,137.5
543,116.0,258.0,187.0
779,103.0,216.0,159.5
955,141.0,278.0,209.5
1026,189.0,333.0,261.0
1038,170.0,298.0,234.0
1082,378.0,467.0,422.5
1121,134.0,253.0,193.5
1124,197.0,338.0,267.5
1183,92.0,224.0,158.0
1202,86.0,229.0,157.5
1210,73.0,162.0,117.5
1216,111.0,263.0,187.0
1230,81.0,264.0,172.5
1280,143.0,289.0,216.0
1476,442.0,546.0,494.0
1551,219.0,357.0,288.0
1554,176.0,287.0,231.5
1596,48.0,201.0,124.5
1824,9.0,308.0,158.5
1918,6.0,293.0,149.5
1928,118.0,240.0,179.0
1964,193.0,326.0,259.5
1984,37.0,176.0,106.5
2146,16.0,199.0,107.5
2329,273.0,419.0,346.0
2492,69.0,198.0,133.5
2552,34.0,180.0,107.0
2571,45.0,170.0,107.5
2686,60.0,190.0,125.0
2775,95.0,233.0,164.0
2842,32.0,174.0,103.0
3038,41.0,184.0,112.5
3071,98.0,230.0,164.0
3143,24.0,194.0,109.0
3163,127.0,251.0,189.0
3169,177.0,286.0,231.5
3258,53.0,188.0,120.5
3342,26.0,166.0,96.0
3689,72.0,197.0,134.5
4194,15.0,347.0,181.0
4241,107.0,153.0,130.0
4400,23.0,209.0,116.0
4488,42.0,179.0,110.5
4506,35.0,182.0,108.5
4543,104.0,231.0,167.5
4549,138.0,272.0,205.0
4560,180.0,320.0,250.0
4651,405.0,533.0,469.0
4873,156.0,279.0,217.5
4877,36.0,172.0,104.0
4905,4.0,221.0,112.5
4926,57.0,192.0,124.5
4931,43.0,183.0,113.0
5055,78.0,213.0,145.5
5084,33.0,175.0,104.0
5176,47.0,207.0,127.0
5177,120.0,238.0,179.0
5262,1.0,206.0,103.5
5302,128.0,244.0,186.0
5308,171.0,322.0,246.5
5328,168.0,312.0,240.0
5347,66.0,203.0,134.5
5425,27.0,165.0,96.0
5428,,271.0,271.0
5640,25.0,173.0,99.0
5647,1649.0,1820.0,1734.5
5828,93.0,284.0,188.5
6002,102.0,232.0,167.0
6033,129.0,260.0,194.5
6085,165.0,304.0,234.5
6165,28.0,164.0,96.0
6303,124.0,241.0,182.5
6520,8.0,294.0,151.0
6566,199.0,378.0,288.5
6718,184.0,318.0,251.0
6815,112.0,234.0,173.0
6963,39.0,178.0,108.5
7084,133.0,252.0,192.5
7263,137.0,269.0,203.0
7362,173.0,276.0,224.5
7450,140.0,274.0,207.0
7509,300.0,426.0,363.0
7571,12.0,211.0,111.5
7691,113.0,245.0,179.0
7700,97.0,228.0,162.5
7788,155.0,301.0,228.0
7797,49.0,186.0,117.5
7878,181.0,314.0,247.5
7905,122.0,243.0,182.5
7913,185.0,319.0,252.0
8078,88.0,218.0,153.0
8355,2.0,300.0,151.0
8366,29.0,163.0,96.0
8477,67.0,219.0,143.0
8528,208.0,161.0,184.5
8612,169.0,313.0,241.0
8679,233.0,299.0,266.0
8751,10.0,273.0,141.5
average_simulation_TD,123.66019417475728,267.50961538461536,
