record_id,td_sim_0,td_sim_1,record_atd
6,409.0,405.0,407.0
19,19.0,22.0,20.5
25,308.0,291.0,299.5
30,65.0,91.0,78.0
34,21.0,27.0,24.0
41,253.0,260.0,256.5
102,160.0,146.0,153.0
104,161.0,124.0,142.5
136,12.0,18.0,15.0
138,109.0,103.0,106.0
144,106.0,119.0,112.5
158,67.0,71.0,69.0
162,129.0,73.0,101.0
168,72.0,88.0,80.0
174,177.0,210.0,193.5
184,74.0,90.0,82.0
213,59.0,50.0,54.5
214,24.0,30.0,27.0
217,355.0,356.0,355.5
244,1.0,5.0,3.0
253,25.0,35.0,30.0
271,10.0,12.0,11.0
282,52.0,60.0,56.0
287,116.0,108.0,112.0
290,34.0,38.0,36.0
291,28.0,40.0,34.0
298,71.0,87.0,79.0
301,,10.0,10.0
336,23.0,26.0,24.5
359,193.0,278.0,235.5
382,333.0,332.0,332.5
387,136.0,150.0,143.0
394,31.0,63.0,47.0
406,83.0,78.0,80.5
409,40.0,25.0,32.5
414,1098.0,1102.0,1100.0
415,494.0,502.0,498.0
422,456.0,472.0,464.0
435,231.0,218.0,224.5
460,325.0,338.0,331.5
462,240.0,224.0,232.0
463,18.0,17.0,17.5
478,2.0,4.0,3.0
504,61.0,64.0,62.5
513,374.0,354.0,364.0
550,13.0,19.0,16.0
552,270.0,300.0,285.0
556,289.0,232.0,260.5
585,153.0,155.0,154.0
604,39.0,45.0,42.0
637,453.0,440.0,446.5
659,6.0,9.0,7.5
675,104.0,118.0,111.0
736,15.0,16.0,15.5
741,332.0,325.0,328.5
753,33.0,28.0,30.5
758,274.0,312.0,293.0
762,102.0,117.0,109.5
774,68.0,72.0,70.0
791,9.0,15.0,12.0
795,520.0,485.0,502.5
813,245.0,256.0,250.5
818,118.0,122.0,120.0
819,30.0,46.0,38.0
821,111.0,104.0,107.5
829,209.0,190.0,199.5
835,5.0,3.0,4.0
839,35.0,39.0,37.0
854,51.0,70.0,60.5
858,36.0,62.0,49.0
865,190.0,198.0,194.0
904,66.0,77.0,71.5
916,99.0,114.0,106.5
932,147.0,139.0,143.0
954,445.0,471.0,458.0
974,20.0,23.0,21.5
1011,97.0,110.0,103.5
1015,81.0,93.0,87.0
1021,101.0,116.0,108.5
1048,444.0,468.0,456.0
1049,73.0,89.0,81.0
1055,457.0,448.0,452.5
1062,442.0,469.0,455.5
1068,4.0,8.0,6.0
1070,460.0,445.0,452.5
1087,152.0,151.0,151.5
1095,252.0,259.0,255.5
1100,64.0,86.0,75.0
1109,62.0,75.0,68.5
1119,491.0,457.0,474.0
1120,45.0,61.0,53.0
1137,230.0,185.0,207.5
1138,8.0,11.0,9.5
1150,555.0,566.0,560.5
1155,117.0,138.0,127.5
1159,69.0,82.0,75.5
average_simulation_TD,165.74736842105264,168.07291666666666,
