record_id,td_sim_0,td_sim_1,record_atd
0,309.0,293.0,301.0
11,315.0,321.0,318.0
22,729.0,718.0,723.5
33,161.0,190.0,175.5
41,755.0,749.0,752.0
42,1433.0,1457.0,1445.0
56,813.0,836.0,824.5
67,639.0,681.0,660.0
77,1920.0,1977.0,1948.5
91,87.0,75.0,81.0
105,2698.0,2637.0,2667.5
108,1351.0,1393.0,1372.0
115,1525.0,1414.0,1469.5
137,2992.0,2999.0,2995.5
152,106.0,92.0,99.0
165,2.0,51.0,26.5
174,608.0,630.0,619.0
176,63.0,71.0,67.0
180,410.0,438.0,424.0
188,61.0,107.0,84.0
212,601.0,547.0,574.0
227,1448.0,1490.0,1469.0
246,1940.0,1986.0,1963.0
272,528.0,580.0,554.0
289,22.0,15.0,18.5
299,1136.0,1136.0,1136.0
311,441.0,423.0,432.0
329,2458.0,2335.0,2396.5
389,154.0,154.0,154.0
408,1559.0,1574.0,1566.5
411,928.0,914.0,921.0
413,1199.0,1145.0,1172.0
420,141.0,149.0,145.0
423,19.0,60.0,39.5
425,1379.0,1405.0,1392.0
500,466.0,538.0,502.0
516,329.0,410.0,369.5
534,1631.0,1615.0,1623.0
549,285.0,283.0,284.0
550,551.0,573.0,562.0
554,970.0,903.0,936.5
579,206.0,234.0,220.0
586,421.0,433.0,427.0
587,3419.0,3455.0,3437.0
626,1648.0,1551.0,1599.5
636,3245.0,3195.0,3220.0
661,1443.0,1465.0,1454.0
672,48.0,38.0,43.0
674,15.0,62.0,38.5
683,1372.0,1390.0,1381.0
690,943.0,954.0,948.5
698,70.0,12.0,41.0
735,24.0,17.0,20.5
741,468.0,560.0,514.0
748,886.0,863.0,874.5
785,54.0,49.0,51.5
787,322.0,341.0,331.5
805,1386.0,1406.0,1396.0
838,327.0,403.0,365.0
848,1678.0,1688.0,1683.0
853,1441.0,1445.0,1443.0
865,1451.0,1454.0,1452.5
868,160.0,156.0,158.0
886,1740.0,1661.0,1700.5
888,267.0,268.0,267.5
889,897.0,897.0,897.0
890,255.0,260.0,257.5
915,3733.0,3826.0,3779.5
946,342.0,362.0,352.0
961,2967.0,3041.0,3004.0
1021,682.0,642.0,662.0
1026,1008.0,1049.0,1028.5
1033,1368.0,1384.0,1376.0
1047,325.0,327.0,326.0
1048,2113.0,2184.0,2148.5
1051,279.0,288.0,283.5
1092,92.0,102.0,97.0
1099,1983.0,2017.0,2000.0
1114,1695.0,1757.0,1726.0
1119,1415.0,1439.0,1427.0
1121,450.0,517.0,483.5
1134,494.0,507.0,500.5
1145,225.0,210.0,217.5
1155,1366.0,1387.0,1376.5
1167,1361.0,1388.0,1374.5
1188,1051.0,1072.0,1061.5
1221,2466.0,2491.0,2478.5
1228,2064.0,2044.0,2054.0
1235,1580.0,1686.0,1633.0
1268,775.0,773.0,774.0
1270,3664.0,3678.0,3671.0
1285,2202.0,2264.0,2233.0
1308,867.0,923.0,895.0
1311,2609.0,2592.0,2600.5
1317,859.0,877.0,868.0
1338,385.0,346.0,365.5
1353,38.0,31.0,34.5
1356,1675.0,1745.0,1710.0
1394,490.0,487.0,488.5
1400,164.0,192.0,178.0
1407,428.0,459.0,443.5
1409,1148.0,1023.0,1085.5
1413,3962.0,3933.0,3947.5
1416,210.0,235.0,222.5
1434,2479.0,2374.0,2426.5
1438,277.0,241.0,259.0
1440,4262.0,4351.0,4306.5
1451,2525.0,2580.0,2552.5
1455,78.0,79.0,78.5
1457,43.0,42.0,42.5
1495,911.0,936.0,923.5
1520,1353.0,1381.0,1367.0
1535,2289.0,2212.0,2250.5
1539,3086.0,3072.0,3079.0
1542,578.0,604.0,591.0
1557,727.0,745.0,736.0
1566,1312.0,1592.0,1452.0
1569,1161.0,1161.0,1161.0
1573,964.0,1004.0,984.0
1584,27.0,21.0,24.0
1586,2262.0,2204.0,2233.0
1597,520.0,527.0,523.5
1617,168.0,5.0,86.5
1645,1647.0,1620.0,1633.5
1660,8.0,52.0,30.0
1670,126.0,150.0,138.0
1691,1405.0,1430.0,1417.5
1694,1555.0,1554.0,1554.5
1697,1364.0,1443.0,1403.5
1706,1685.0,1854.0,1769.5
1715,2726.0,2736.0,2731.0
1725,469.0,475.0,472.0
1729,1566.0,1566.0,1566.0
1738,1283.0,1322.0,1302.5
1752,507.0,520.0,513.5
1758,1781.0,1861.0,1821.0
1760,2057.0,2160.0,2108.5
1782,1442.0,1475.0,1458.5
1795,904.0,916.0,910.0
1818,1378.0,1401.0,1389.5
1822,55.0,48.0,51.5
1823,577.0,625.0,601.0
1842,1074.0,1021.0,1047.5
1853,2091.0,2091.0,2091.0
1876,756.0,734.0,745.0
1879,439.0,458.0,448.5
1880,2515.0,2534.0,2524.5
1884,62.0,65.0,63.5
1939,380.0,334.0,357.0
1992,2324.0,2320.0,2322.0
1995,722.0,726.0,724.0
2008,2455.0,2404.0,2429.5
2014,149.0,148.0,148.5
2016,113.0,110.0,111.5
2021,1710.0,1802.0,1756.0
2030,89.0,141.0,115.0
2032,693.0,685.0,689.0
2037,1444.0,1473.0,1458.5
2058,1553.0,1559.0,1556.0
2062,144.0,155.0,149.5
2064,1026.0,1058.0,1042.0
2073,448.0,461.0,454.5
2077,1763.0,1962.0,1862.5
2089,95.0,70.0,82.5
