record_id,td_sim_0,td_sim_1,record_atd
15,87.0,181.0,134.0
28,50.0,106.0,78.0
67,189.0,266.0,227.5
129,346.0,418.0,382.0
151,101.0,164.0,132.5
184,188.0,264.0,226.0
194,43.0,127.0,85.0
196,129.0,238.0,183.5
206,28.0,131.0,79.5
216,51.0,110.0,80.5
232,114.0,180.0,147.0
247,33.0,102.0,67.5
265,205.0,279.0,242.0
282,243.0,220.0,231.5
283,,95.0,95.0
284,25.0,101.0,63.0
310,81.0,143.0,112.0
326,27.0,107.0,67.0
350,5.0,93.0,49.0
357,42.0,163.0,102.5
372,92.0,185.0,138.5
421,54.0,124.0,89.0
434,124.0,201.0,162.5
483,6.0,92.0,49.0
531,113.0,203.0,158.0
575,26.0,112.0,69.0
611,45.0,170.0,107.5
639,59.0,130.0,94.5
671,46.0,174.0,110.0
707,7.0,94.0,50.5
742,382.0,441.0,411.5
802,160.0,265.0,212.5
808,23.0,117.0,70.0
814,10.0,98.0,54.0
826,84.0,156.0,120.0
865,29.0,114.0,71.5
874,15.0,84.0,49.5
average_simulation_TD,90.61111111111111,168.86486486486487,
