record_id,td_sim_0,td_sim_1,record_atd
26,27.0,18.0,22.5
42,240.0,205.0,222.5
46,178.0,141.0,159.5
52,51.0,50.0,50.5
69,62.0,57.0,59.5
98,105.0,91.0,98.0
103,130.0,120.0,125.0
110,30.0,32.0,31.0
114,282.0,244.0,263.0
127,78.0,71.0,74.5
146,84.0,79.0,81.5
159,43.0,17.0,30.0
164,173.0,149.0,161.0
187,120.0,96.0,108.0
194,114.0,128.0,121.0
199,201.0,177.0,189.0
202,29.0,28.0,28.5
204,95.0,86.0,90.5
210,55.0,13.0,34.0
220,115.0,125.0,120.0
254,865.0,870.0,867.5
257,167.0,165.0,166.0
278,35.0,33.0,34.0
282,199.0,10.0,104.5
295,244.0,203.0,223.5
302,102.0,93.0,97.5
313,223.0,174.0,198.5
345,124.0,99.0,111.5
358,37.0,26.0,31.5
359,57.0,41.0,49.0
392,222.0,178.0,200.0
415,88.0,76.0,82.0
418,129.0,102.0,115.5
429,80.0,63.0,71.5
432,54.0,45.0,49.5
493,53.0,43.0,48.0
508,74.0,73.0,73.5
510,52.0,21.0,36.5
535,910.0,929.0,919.5
543,89.0,80.0,84.5
553,38.0,36.0,37.0
556,73.0,68.0,70.5
560,356.0,314.0,335.0
562,87.0,77.0,82.0
567,33.0,24.0,28.5
584,268.0,270.0,269.0
591,213.0,227.0,220.0
606,113.0,126.0,119.5
643,41.0,22.0,31.5
656,358.0,321.0,339.5
669,24.0,29.0,26.5
697,36.0,34.0,35.0
702,46.0,37.0,41.5
735,175.0,217.0,196.0
739,132.0,122.0,127.0
744,202.0,184.0,193.0
745,135.0,107.0,121.0
749,123.0,95.0,109.0
773,106.0,89.0,97.5
786,70.0,64.0,67.0
788,,354.0,354.0
795,72.0,52.0,62.0
798,261.0,278.0,269.5
826,190.0,186.0,188.0
838,127.0,104.0,115.5
839,31.0,15.0,23.0
840,66.0,51.0,58.5
851,134.0,143.0,138.5
859,77.0,65.0,71.0
887,32.0,25.0,28.5
907,140.0,127.0,133.5
955,59.0,42.0,50.5
956,249.0,218.0,233.5
969,76.0,70.0,73.0
average_simulation_TD,139.16438356164383,127.62162162162163,
