record_id,td_sim_0,td_sim_1,record_atd
42,383.0,1454.0,918.5
56,1330.0,604.0,967.0
167,3641.0,3807.0,3724.0
197,4163.0,4329.0,4246.0
205,3100.0,2937.0,3018.5
320,1577.0,807.0,1192.0
390,1942.0,1071.0,1506.5
431,1501.0,868.0,1184.5
470,1572.0,844.0,1208.0
628,2948.0,2623.0,2785.5
665,2966.0,2649.0,2807.5
676,219.0,1512.0,865.5
696,1078.0,6.0,542.0
707,3455.0,3360.0,3407.5
755,1096.0,167.0,631.5
760,1570.0,842.0,1206.0
797,1305.0,1136.0,1220.5
882,1768.0,1631.0,1699.5
924,3578.0,3705.0,3641.5
1126,1016.0,138.0,577.0
1166,455.0,1516.0,985.5
1330,2475.0,2522.0,2498.5
1364,888.0,358.0,623.0
1416,3047.0,3035.0,3041.0
1433,4440.0,4525.0,4482.5
1441,3430.0,3463.0,3446.5
1470,1445.0,752.0,1098.5
1534,1995.0,1795.0,1895.0
1579,3704.0,3552.0,3628.0
1600,433.0,1494.0,963.5
1608,1321.0,1218.0,1269.5
1666,1478.0,1227.0,1352.5
1742,866.0,384.0,625.0
1758,1271.0,530.0,900.5
1830,3932.0,3849.0,3890.5
1863,1369.0,1194.0,1281.5
1879,1513.0,797.0,1155.0
1929,791.0,400.0,595.5
1966,946.0,560.0,753.0
2060,3401.0,3429.0,3415.0
2100,249.0,1591.0,920.0
2195,2226.0,2672.0,2449.0
2215,1017.0,145.0,581.0
2268,515.0,1264.0,889.5
2399,600.0,1307.0,953.5
2468,1269.0,554.0,911.5
2569,152.0,1848.0,1000.0
2659,5125.0,5122.0,5123.5
2756,4527.0,4627.0,4577.0
2785,1550.0,747.0,1148.5
2820,2214.0,2232.0,2223.0
2822,661.0,2270.0,1465.5
2895,2731.0,3073.0,2902.0
2934,1845.0,938.0,1391.5
2968,113.0,1860.0,986.5
3013,516.0,1265.0,890.5
3058,2846.0,2418.0,2632.0
3221,471.0,1544.0,1007.5
3381,3135.0,2728.0,2931.5
3549,1716.0,1601.0,1658.5
3561,2015.0,1823.0,1919.0
3590,156.0,1358.0,757.0
3600,,2818.0,2818.0
3630,1100.0,240.0,670.0
3698,4974.0,4980.0,4977.0
3739,683.0,1479.0,1081.0
3770,538.0,1735.0,1136.5
3782,2705.0,2162.0,2433.5
3788,2449.0,2377.0,2413.0
3825,3183.0,3009.0,3096.0
3843,1657.0,924.0,1290.5
3960,1421.0,1047.0,1234.0
4005,29.0,1388.0,708.5
4006,795.0,398.0,596.5
4042,158.0,1348.0,753.0
4046,2042.0,1828.0,1935.0
4085,465.0,1504.0,984.5
4112,1563.0,733.0,1148.0
4117,107.0,1375.0,741.0
4136,567.0,1292.0,929.5
4183,1997.0,1798.0,1897.5
4184,2252.0,2308.0,2280.0
4193,3580.0,3707.0,3643.5
4237,849.0,374.0,611.5
4305,2145.0,2196.0,2170.5
4321,4227.0,4289.0,4258.0
4353,2990.0,2763.0,2876.5
4391,545.0,1281.0,913.0
4394,1125.0,273.0,699.0
4455,191.0,1401.0,796.0
4533,2658.0,2750.0,2704.0
4542,2376.0,2188.0,2282.0
4553,1239.0,72.0,655.5
4595,3007.0,2810.0,2908.5
4653,2918.0,437.0,1677.5
4669,3885.0,3602.0,3743.5
4697,1569.0,860.0,1214.5
4776,1021.0,56.0,538.5
4860,1639.0,1119.0,1379.0
4867,1643.0,1128.0,1385.5
4922,1535.0,684.0,1109.5
4938,2793.0,2700.0,2746.5
4943,1867.0,1183.0,1525.0
5017,3563.0,3870.0,3716.5
5055,2446.0,2300.0,2373.0
5065,322.0,2107.0,1214.5
5075,4507.0,4533.0,4520.0
5107,1778.0,1638.0,1708.0
5140,2110.0,1999.0,2054.5
5143,2721.0,2706.0,2713.5
5180,3009.0,2822.0,2915.5
average_simulation_TD,1890.909090909091,1861.873873873874,
