record_id,td_sim_0,td_sim_1,record_atd
18,708.0,677.0,692.5
28,329.0,3.0,166.0
60,735.0,787.0,761.0
70,19.0,114.0,66.5
100,528.0,570.0,549.0
107,177.0,257.0,217.0
111,322.0,1.0,161.5
116,44.0,132.0,88.0
117,136.0,224.0,180.0
129,1557.0,1557.0,1557.0
132,850.0,744.0,797.0
137,740.0,685.0,712.5
168,60.0,127.0,93.5
169,1555.0,1471.0,1513.0
171,1041.0,1069.0,1055.0
188,496.0,480.0,488.0
200,279.0,328.0,303.5
201,74.0,150.0,112.0
205,265.0,302.0,283.5
218,68.0,143.0,105.5
219,1335.0,1351.0,1343.0
222,780.0,839.0,809.5
226,739.0,812.0,775.5
232,1.0,235.0,118.0
235,705.0,769.0,737.0
236,531.0,535.0,533.0
245,38.0,117.0,77.5
252,49.0,126.0,87.5
253,172.0,236.0,204.0
264,896.0,888.0,892.0
265,1803.0,1860.0,1831.5
269,67.0,97.0,82.0
282,59.0,137.0,98.0
293,483.0,457.0,470.0
318,65.0,139.0,102.0
319,869.0,770.0,819.5
332,22.0,109.0,65.5
340,18.0,108.0,63.0
346,1333.0,1312.0,1322.5
347,77.0,169.0,123.0
361,8.0,28.0,18.0
365,360.0,377.0,368.5
369,246.0,311.0,278.5
378,1171.0,1218.0,1194.5
401,351.0,347.0,349.0
415,25.0,102.0,63.5
418,79.0,156.0,117.5
429,14.0,120.0,67.0
432,1762.0,1802.0,1782.0
436,231.0,280.0,255.5
438,517.0,525.0,521.0
446,48.0,141.0,94.5
472,1082.0,1120.0,1101.0
475,1451.0,1409.0,1430.0
479,808.0,859.0,833.5
482,101.0,183.0,142.0
483,875.0,883.0,879.0
505,872.0,823.0,847.5
520,24.0,100.0,62.0
525,349.0,13.0,181.0
528,97.0,179.0,138.0
533,26.0,103.0,64.5
538,212.0,283.0,247.5
554,278.0,333.0,305.5
564,703.0,646.0,674.5
566,1073.0,1102.0,1087.5
567,1707.0,1682.0,1694.5
574,606.0,627.0,616.5
589,1030.0,994.0,1012.0
594,784.0,842.0,813.0
597,807.0,863.0,835.0
601,29.0,111.0,70.0
604,975.0,953.0,964.0
610,897.0,932.0,914.5
613,823.0,750.0,786.5
616,235.0,63.0,149.0
621,593.0,600.0,596.5
626,238.0,298.0,268.0
635,950.0,969.0,959.5
649,779.0,840.0,809.5
669,754.0,694.0,724.0
676,797.0,846.0,821.5
693,960.0,986.0,973.0
695,35.0,112.0,73.5
697,1253.0,1205.0,1229.0
719,,234.0,234.0
722,1037.0,1017.0,1027.0
726,99.0,181.0,140.0
729,1278.0,1176.0,1227.0
732,264.0,295.0,279.5
734,1674.0,1709.0,1691.5
736,291.0,341.0,316.0
754,631.0,633.0,632.0
773,1628.0,1605.0,1616.5
804,345.0,6.0,175.5
810,307.0,330.0,318.5
814,442.0,465.0,453.5
819,1207.0,1090.0,1148.5
826,62.0,167.0,114.5
829,954.0,951.0,952.5
834,848.0,763.0,805.5
837,168.0,242.0,205.0
848,1446.0,1536.0,1491.0
849,763.0,833.0,798.0
862,867.0,914.0,890.5
870,1416.0,1432.0,1424.0
887,90.0,182.0,136.0
888,210.0,275.0,242.5
898,1319.0,1284.0,1301.5
906,296.0,317.0,306.5
912,588.0,592.0,590.0
921,1493.0,1469.0,1481.0
940,70.0,144.0,107.0
946,131.0,61.0,96.0
952,858.0,877.0,867.5
954,124.0,69.0,96.5
969,319.0,393.0,356.0
976,497.0,476.0,486.5
982,39.0,122.0,80.5
994,127.0,193.0,160.0
1000,139.0,218.0,178.5
1004,971.0,1030.0,1000.5
1018,510.0,543.0,526.5
1020,737.0,760.0,748.5
1023,782.0,841.0,811.5
1032,1642.0,1627.0,1634.5
1051,114.0,187.0,150.5
1057,216.0,251.0,233.5
1062,222.0,272.0,247.0
1073,1221.0,1174.0,1197.5
1085,123.0,185.0,154.0
1088,2002.0,2018.0,2010.0
1094,1633.0,1658.0,1645.5
1098,806.0,862.0,834.0
1099,1314.0,1266.0,1290.0
1102,174.0,188.0,181.0
1111,1032.0,984.0,1008.0
1117,890.0,926.0,908.0
1151,395.0,474.0,434.5
1152,2177.0,2145.0,2161.0
1175,813.0,692.0,752.5
1180,1352.0,1355.0,1353.5
1185,587.0,588.0,587.5
1191,387.0,461.0,424.0
1192,568.0,578.0,573.0
1193,273.0,322.0,297.5
1199,573.0,585.0,579.0
1200,86.0,151.0,118.5
1202,862.0,871.0,866.5
1210,1046.0,1021.0,1033.5
1224,652.0,661.0,656.5
1226,149.0,229.0,189.0
1234,795.0,806.0,800.5
1243,20.0,115.0,67.5
1246,651.0,660.0,655.5
1248,1769.0,1819.0,1794.0
1249,126.0,195.0,160.5
1250,996.0,977.0,986.5
1262,367.0,383.0,375.0
1264,103.0,184.0,143.5
1273,1412.0,1440.0,1426.0
1276,432.0,57.0,244.5
1277,242.0,296.0,269.0
1282,147.0,210.0,178.5
1293,93.0,174.0,133.5
1304,2061.0,2044.0,2052.5
1309,759.0,724.0,741.5
1331,1306.0,1224.0,1265.0
1336,310.0,406.0,358.0
1339,152.0,228.0,190.0
1344,244.0,306.0,275.0
1351,28.0,110.0,69.0
1354,1545.0,1456.0,1500.5
1371,1089.0,1082.0,1085.5
1378,509.0,420.0,464.5
1382,1371.0,1393.0,1382.0
1389,141.0,64.0,102.5
1401,992.0,1079.0,1035.5
1403,870.0,773.0,821.5
1409,1137.0,1161.0,1149.0
1415,446.0,495.0,470.5
1418,577.0,564.0,570.5
1430,112.0,82.0,97.0
1434,30.0,105.0,67.5
1439,340.0,14.0,177.0
1454,89.0,178.0,133.5
1456,468.0,489.0,478.5
1463,653.0,662.0,657.5
1467,92.0,173.0,132.5
1468,284.0,360.0,322.0
1477,628.0,639.0,633.5
1491,128.0,217.0,172.5
1502,162.0,204.0,183.0
1515,337.0,375.0,356.0
1516,154.0,203.0,178.5
1519,953.0,961.0,957.0
1521,891.0,943.0,917.0
1545,1057.0,1103.0,1080.0
1566,323.0,19.0,171.0
1569,581.0,629.0,605.0
1582,301.0,337.0,319.0
1584,1705.0,1752.0,1728.5
1586,324.0,2.0,163.0
1591,1726.0,1663.0,1694.5
1592,138.0,222.0,180.0
1595,428.0,332.0,380.0
1608,829.0,874.0,851.5
1628,1076.0,1095.0,1085.5
1633,997.0,1044.0,1020.5
1640,1665.0,1656.0,1660.5
1642,96.0,196.0,146.0
1648,1007.0,1036.0,1021.5
1649,2022.0,2005.0,2013.5
1652,1435.0,1457.0,1446.0
1653,206.0,252.0,229.0
1656,43.0,134.0,88.5
1674,1857.0,1731.0,1794.0
1675,2444.0,2446.0,2445.0
1676,160.0,208.0,184.0
1678,352.0,411.0,381.5
1684,295.0,352.0,323.5
1700,781.0,838.0,809.5
1717,6.0,25.0,15.5
1719,80.0,160.0,120.0
1720,421.0,424.0,422.5
1755,419.0,500.0,459.5
1757,1177.0,1173.0,1175.0
1767,207.0,264.0,235.5
1792,156.0,52.0,104.0
1806,1419.0,1364.0,1391.5
1809,930.0,1042.0,986.0
1829,839.0,767.0,803.0
1835,272.0,309.0,290.5
1837,105.0,200.0,152.5
1862,993.0,835.0,914.0
1864,253.0,315.0,284.0
1877,805.0,855.0,830.0
1886,1719.0,1678.0,1698.5
1889,418.0,441.0,429.5
1895,358.0,378.0,368.0
1900,15.0,135.0,75.0
1905,390.0,390.0,390.0
1923,711.0,716.0,713.5
1935,334.0,9.0,171.5
1936,54.0,145.0,99.5
1939,262.0,320.0,291.0
1940,335.0,92.0,213.5
1944,169.0,216.0,192.5
1948,1220.0,1239.0,1229.5
1950,1393.0,1399.0,1396.0
