record_id,td_sim_0,td_sim_1,record_atd
2,46.0,128.0,87.0
12,58.0,94.0,76.0
17,21.0,64.0,42.5
21,24.0,52.0,38.0
23,147.0,15.0,81.0
27,31.0,84.0,57.5
28,64.0,99.0,81.5
30,102.0,24.0,63.0
31,90.0,31.0,60.5
33,160.0,158.0,159.0
38,19.0,53.0,36.0
49,110.0,142.0,126.0
57,74.0,97.0,85.5
59,10.0,55.0,32.5
62,185.0,192.0,188.5
64,136.0,4.0,70.0
72,132.0,5.0,68.5
73,137.0,21.0,79.0
82,7.0,54.0,30.5
93,,27.0,27.0
97,66.0,82.0,74.0
104,113.0,144.0,128.5
108,18.0,56.0,37.0
110,121.0,12.0,66.5
114,89.0,93.0,91.0
115,70.0,115.0,92.5
116,11.0,32.0,21.5
127,150.0,17.0,83.5
135,27.0,66.0,46.5
138,93.0,70.0,81.5
139,65.0,111.0,88.0
143,56.0,102.0,79.0
150,49.0,113.0,81.0
161,209.0,213.0,211.0
164,263.0,265.0,264.0
168,135.0,7.0,71.0
172,109.0,136.0,122.5
173,112.0,143.0,127.5
174,62.0,104.0,83.0
175,26.0,49.0,37.5
183,140.0,11.0,75.5
187,36.0,79.0,57.5
189,97.0,10.0,53.5
193,3.0,46.0,24.5
196,236.0,243.0,239.5
205,139.0,18.0,78.5
209,16.0,57.0,36.5
215,202.0,184.0,193.0
222,219.0,221.0,220.0
231,5.0,42.0,23.5
240,114.0,173.0,143.5
242,146.0,14.0,80.0
243,152.0,19.0,85.5
247,44.0,127.0,85.5
249,32.0,58.0,45.0
263,149.0,16.0,82.5
265,53.0,91.0,72.0
266,22.0,50.0,36.0
275,25.0,65.0,45.0
278,54.0,89.0,71.5
279,38.0,69.0,53.5
282,275.0,277.0,276.0
283,15.0,62.0,38.5
286,60.0,100.0,80.0
287,8.0,71.0,39.5
289,41.0,80.0,60.5
294,161.0,159.0,160.0
298,23.0,51.0,37.0
300,71.0,116.0,93.5
307,43.0,72.0,57.5
310,96.0,39.0,67.5
314,12.0,60.0,36.0
318,178.0,165.0,171.5
322,95.0,95.0,95.0
344,52.0,90.0,71.0
345,29.0,67.0,48.0
350,57.0,98.0,77.5
353,175.0,188.0,181.5
357,85.0,107.0,96.0
358,13.0,61.0,37.0
average_simulation_TD,86.17721518987342,87.1125,
