record_id,td_sim_0,td_sim_1,record_atd
88,89.0,,89.0
90,,23.0,23.0
400,189.0,,189.0
402,,93.0,93.0
466,82.0,,82.0
468,,253.0,253.0
490,106.0,,106.0
492,,47.0,47.0
542,101.0,,101.0
544,,24.0,24.0
588,90.0,,90.0
590,,28.0,28.0
624,231.0,,231.0
626,,161.0,161.0
733,105.0,,105.0
734,100.0,,100.0
735,,41.0,41.0
736,,25.0,25.0
753,302.0,,302.0
755,,245.0,245.0
758,303.0,,303.0
760,,246.0,246.0
1395,348.0,,348.0
1397,,334.0,334.0
1405,140.0,,140.0
1407,,92.0,92.0
1889,104.0,,104.0
1891,,50.0,50.0
1892,70.0,,70.0
1894,,197.0,197.0
1960,93.0,,93.0
1962,,27.0,27.0
2011,59.0,,59.0
2013,,121.0,121.0
2256,192.0,,192.0
2258,,154.0,154.0
2315,,1309.0,1309.0
2378,186.0,,186.0
2380,,83.0,83.0
2399,362.0,,362.0
2401,,318.0,318.0
2476,91.0,,91.0
2478,,31.0,31.0
2642,65.0,,65.0
2644,,198.0,198.0
2771,157.0,,157.0
2773,,119.0,119.0
3146,148.0,,148.0
3148,,67.0,67.0
3190,88.0,,88.0
3192,,43.0,43.0
3235,340.0,,340.0
3237,,333.0,333.0
3381,234.0,,234.0
3383,,207.0,207.0
3534,170.0,,170.0
3536,,117.0,117.0
3626,246.0,,246.0
3628,,216.0,216.0
3938,126.0,,126.0
3940,,37.0,37.0
4062,96.0,,96.0
4064,,34.0,34.0
4247,64.0,,64.0
4249,,200.0,200.0
4427,295.0,,295.0
4429,,251.0,251.0
4598,61.0,,61.0
4600,,211.0,211.0
4603,56.0,,56.0
4605,,202.0,202.0
4835,571.0,,571.0
4837,,412.0,412.0
4851,60.0,,60.0
4853,,205.0,205.0
4934,173.0,,173.0
4936,,103.0,103.0
5000,97.0,,97.0
5002,,32.0,32.0
5044,92.0,,92.0
5046,,30.0,30.0
5157,239.0,,239.0
5159,,209.0,209.0
5343,75.0,,75.0
5345,,185.0,185.0
5397,156.0,,156.0
5399,,115.0,115.0
5506,74.0,,74.0
5508,,137.0,137.0
5669,524.0,,524.0
5671,,509.0,509.0
5760,198.0,,198.0
5762,,95.0,95.0
5805,318.0,,318.0
5807,,285.0,285.0
average_simulation_TD,171.61702127659575,176.125,
