record_id,td_sim_0,td_sim_1,record_atd
0,16.0,,16.0
2,,7.0,7.0
10,11.0,,11.0
12,41.0,10.0,25.5
14,,33.0,33.0
15,105.0,,105.0
17,,111.0,111.0
19,215.0,,215.0
21,,223.0,223.0
23,68.0,,68.0
25,,62.0,62.0
27,22.0,,22.0
29,,17.0,17.0
34,135.0,,135.0
36,,142.0,142.0
39,26.0,,26.0
41,,3.0,3.0
42,1.0,,1.0
44,,55.0,55.0
59,195.0,,195.0
61,,218.0,218.0
63,6.0,,6.0
65,,9.0,9.0
66,134.0,,134.0
68,,141.0,141.0
77,42.0,,42.0
79,,46.0,46.0
87,,118.0,118.0
95,18.0,,18.0
97,,12.0,12.0
101,60.0,,60.0
103,,76.0,76.0
104,175.0,,175.0
106,,177.0,177.0
107,29.0,,29.0
109,,5.0,5.0
115,159.0,,159.0
117,,152.0,152.0
119,106.0,,106.0
121,,112.0,112.0
124,33.0,,33.0
125,44.0,,44.0
126,233.0,32.0,132.5
127,,47.0,47.0
128,,237.0,237.0
159,107.0,,107.0
160,100.0,,100.0
161,,123.0,123.0
162,,114.0,114.0
176,227.0,,227.0
178,,189.0,189.0
190,28.0,,28.0
192,,4.0,4.0
199,171.0,,171.0
201,,170.0,170.0
206,25.0,,25.0
208,,16.0,16.0
211,57.0,,57.0
212,12.0,,12.0
213,,37.0,37.0
214,,22.0,22.0
215,144.0,,144.0
217,,137.0,137.0
245,74.0,,74.0
247,,59.0,59.0
249,37.0,,37.0
250,75.0,,75.0
251,,53.0,53.0
252,,60.0,60.0
253,45.0,,45.0
255,27.0,36.0,31.5
256,136.0,,136.0
257,,6.0,6.0
258,,140.0,140.0
259,108.0,,108.0
261,,122.0,122.0
average_simulation_TD,83.25641025641026,83.325,
