record_id,td_sim_0,td_sim_1,record_atd
9,1156.0,,1156.0
11,,1144.0,1144.0
25,1970.0,,1970.0
27,,1842.0,1842.0
56,635.0,,635.0
58,,538.0,538.0
100,8566.0,,8566.0
102,,8283.0,8283.0
390,266.0,,266.0
392,,147.0,147.0
501,1719.0,,1719.0
503,,1534.0,1534.0
733,15604.0,,15604.0
735,,14482.0,14482.0
743,286.0,,286.0
745,,156.0,156.0
746,22012.0,,22012.0
748,,22274.0,22274.0
802,1271.0,,1271.0
804,,1151.0,1151.0
862,3839.0,,3839.0
864,,3787.0,3787.0
936,880.0,,880.0
938,,888.0,888.0
1031,603.0,,603.0
1033,,433.0,433.0
1068,158.0,,158.0
1070,,148.0,148.0
1149,4137.0,,4137.0
1151,,4313.0,4313.0
1168,25876.0,,25876.0
1170,,25586.0,25586.0
1179,1023.0,,1023.0
1181,,934.0,934.0
1313,684.0,,684.0
1315,,556.0,556.0
1448,18390.0,,18390.0
1450,,18152.0,18152.0
1481,537.0,,537.0
1483,,539.0,539.0
1499,2173.0,,2173.0
1501,,2191.0,2191.0
1661,233.0,,233.0
1663,,102.0,102.0
1721,303.0,,303.0
1723,,189.0,189.0
1783,1614.0,,1614.0
1785,,1478.0,1478.0
1887,245.0,,245.0
1889,,94.0,94.0
1970,17650.0,,17650.0
1972,,17962.0,17962.0
2041,3610.0,,3610.0
2043,,3311.0,3311.0
2095,30301.0,,30301.0
2097,,30358.0,30358.0
2147,11011.0,,11011.0
2149,,12141.0,12141.0
2176,766.0,,766.0
2178,,624.0,624.0
2246,5111.0,,5111.0
2248,,5114.0,5114.0
2433,3035.0,,3035.0
2435,,3394.0,3394.0
2499,12429.0,,12429.0
2501,,12277.0,12277.0
2614,7162.0,,7162.0
2616,,6641.0,6641.0
2657,271.0,,271.0
2659,,199.0,199.0
2691,505.0,,505.0
2693,,326.0,326.0
2722,987.0,,987.0
2724,,775.0,775.0
2781,6386.0,,6386.0
2783,,5994.0,5994.0
3194,226.0,,226.0
3196,,42.0,42.0
3356,4329.0,,4329.0
3358,,4121.0,4121.0
3513,5475.0,,5475.0
3515,,5645.0,5645.0
3535,1507.0,,1507.0
3537,,1472.0,1472.0
3679,854.0,,854.0
3681,,830.0,830.0
3856,314.0,,314.0
3858,,121.0,121.0
4073,7500.0,,7500.0
4075,,6998.0,6998.0
4150,652.0,,652.0
4152,,551.0,551.0
4186,3773.0,,3773.0
4188,,3941.0,3941.0
4196,794.0,,794.0
4198,,562.0,562.0
4240,8078.0,,8078.0
4242,,8216.0,8216.0
4287,7380.0,,7380.0
4289,,7114.0,7114.0
4378,7554.0,,7554.0
4380,,7347.0,7347.0
4408,5909.0,,5909.0
4410,6730.0,5563.0,6146.5
4412,,6623.0,6623.0
4541,,20295.0,20295.0
4595,3093.0,,3093.0
