record_id,td_sim_0,td_sim_1,record_atd
54,101.0,,101.0
56,,84.0,84.0
98,61.0,,61.0
100,,43.0,43.0
143,234.0,,234.0
145,,196.0,196.0
232,143.0,,143.0
234,,133.0,133.0
383,49.0,,49.0
385,,64.0,64.0
420,71.0,,71.0
422,,32.0,32.0
478,113.0,,113.0
480,,28.0,28.0
640,98.0,,98.0
642,,102.0,102.0
815,79.0,,79.0
817,,93.0,93.0
858,39.0,,39.0
860,,61.0,61.0
898,116.0,,116.0
900,,125.0,125.0
936,46.0,,46.0
938,,65.0,65.0
1015,96.0,,96.0
1017,,2.0,2.0
1042,62.0,,62.0
1044,,56.0,56.0
1145,133.0,,133.0
1147,,145.0,145.0
1184,177.0,,177.0
1186,,134.0,134.0
1246,77.0,,77.0
1248,,77.0,77.0
1289,121.0,,121.0
1291,,19.0,19.0
1405,104.0,,104.0
1407,,78.0,78.0
1412,453.0,,453.0
1414,,326.0,326.0
1632,886.0,,886.0
1634,,870.0,870.0
1650,534.0,,534.0
1652,,475.0,475.0
1779,17.0,,17.0
1781,,81.0,81.0
1878,47.0,,47.0
1880,,53.0,53.0
1893,139.0,,139.0
1895,,3.0,3.0
1903,84.0,,84.0
1905,,97.0,97.0
1927,55.0,,55.0
1929,,72.0,72.0
1988,38.0,,38.0
1990,,87.0,87.0
2047,161.0,,161.0
2049,,171.0,171.0
2126,221.0,,221.0
2127,110.0,,110.0
2128,,220.0,220.0
2129,,9.0,9.0
2226,1408.0,,1408.0
2228,,1476.0,1476.0
2337,142.0,,142.0
2339,,131.0,131.0
2404,16.0,,16.0
2406,,10.0,10.0
2409,140.0,,140.0
2411,,124.0,124.0
2512,4.0,,4.0
2514,,23.0,23.0
2543,3.0,,3.0
2545,,21.0,21.0
2696,394.0,,394.0
2698,,352.0,352.0
2720,290.0,,290.0
2722,,162.0,162.0
2808,239.0,,239.0
2810,,249.0,249.0
2849,100.0,,100.0
2851,,118.0,118.0
2944,231.0,,231.0
2946,,197.0,197.0
2961,515.0,,515.0
2963,,496.0,496.0
2978,946.0,,946.0
2980,,991.0,991.0
3023,845.0,,845.0
3025,,780.0,780.0
3040,15.0,,15.0
3042,,5.0,5.0
3086,751.0,,751.0
3088,,691.0,691.0
3372,41.0,,41.0
3374,,57.0,57.0
3382,26.0,,26.0
3384,,36.0,36.0
3447,23.0,,23.0
3449,,25.0,25.0
3475,27.0,,27.0
3477,,6.0,6.0
3523,135.0,,135.0
3525,,132.0,132.0
3538,60.0,,60.0
3540,,42.0,42.0
3594,288.0,,288.0
3596,,305.0,305.0
3901,1900.0,,1900.0
3903,,1949.0,1949.0
3967,157.0,,157.0
3969,,177.0,177.0
3997,43.0,,43.0
3999,,60.0,60.0
4016,99.0,,99.0
4018,,14.0,14.0
4080,1827.0,,1827.0
4082,,1813.0,1813.0
4105,63.0,,63.0
4107,,70.0,70.0
4124,186.0,,186.0
4126,,218.0,218.0
4137,1539.0,,1539.0
4139,,1272.0,1272.0
4275,,110.0,110.0
4323,299.0,,299.0
4325,,263.0,263.0
4382,111.0,,111.0
4384,,17.0,17.0
4447,1301.0,,1301.0
4449,,1366.0,1366.0
4485,7.0,,7.0
4487,,39.0,39.0
4561,14.0,,14.0
4563,,11.0,11.0
4639,75.0,,75.0
4641,,49.0,49.0
4730,9.0,,9.0
4732,,20.0,20.0
4769,89.0,,89.0
4771,,96.0,96.0
4848,40.0,,40.0
4850,,58.0,58.0
4867,287.0,,287.0
4869,,304.0,304.0
5020,25.0,,25.0
5022,,34.0,34.0
5041,90.0,,90.0
5043,,45.0,45.0
5088,228.0,,228.0
5090,,195.0,195.0
5134,54.0,,54.0
5136,,71.0,71.0
5173,97.0,,97.0
5175,,69.0,69.0
5258,57.0,,57.0
5260,,66.0,66.0
5480,255.0,,255.0
5482,,232.0,232.0
5488,36.0,,36.0
5490,,27.0,27.0
5509,1319.0,,1319.0
5511,,1369.0,1369.0
5514,411.0,,411.0
5516,,373.0,373.0
5634,1297.0,,1297.0
5636,,1371.0,1371.0
5744,681.0,,681.0
5746,,609.0,609.0
5837,2248.0,,2248.0
5839,,2116.0,2116.0
5843,638.0,,638.0
5845,,509.0,509.0
5897,171.0,,171.0
5899,,219.0,219.0
6028,59.0,,59.0
6030,,41.0,41.0
6108,21.0,,21.0
6110,683.0,26.0,354.5
6112,,721.0,721.0
6137,52.0,,52.0
6139,,4.0,4.0
6277,162.0,,162.0
6279,,89.0,89.0
6329,370.0,,370.0
6331,,360.0,360.0
6364,24.0,,24.0
6366,,35.0,35.0
6375,88.0,,88.0
6377,,15.0,15.0
6546,309.0,,309.0
6548,,278.0,278.0
6689,91.0,,91.0
6691,,13.0,13.0
6712,354.0,,354.0
6714,,410.0,410.0
6754,45.0,,45.0
6756,,54.0,54.0
6880,74.0,,74.0
6882,,44.0,44.0
7087,189.0,,189.0
7089,,167.0,167.0
7129,64.0,,64.0
7131,,47.0,47.0
7177,42.0,,42.0
7179,,62.0,62.0
7228,85.0,,85.0
7230,,29.0,29.0
7247,409.0,,409.0
7249,,503.0,503.0
7251,725.0,,725.0
7253,,771.0,771.0
7273,948.0,,948.0
7275,,992.0,992.0
7604,489.0,,489.0
7606,,447.0,447.0
7630,69.0,,69.0
7632,,52.0,52.0
7633,50.0,,50.0
7635,,30.0,30.0
average_simulation_TD,294.1727272727273,277.7567567567568,
