record_id,td_sim_0,td_sim_1,record_atd
422,148.0,,148.0
424,,1836.0,1836.0
749,1019.0,,1019.0
751,,2485.0,2485.0
979,48.0,,48.0
981,,1742.0,1742.0
1059,147.0,,147.0
1061,,1819.0,1819.0
1096,196.0,,196.0
1098,,1845.0,1845.0
1142,35.0,,35.0
1144,,1749.0,1749.0
1167,42.0,,42.0
1169,,1921.0,1921.0
1777,46.0,,46.0
1779,,1748.0,1748.0
1802,4.0,,4.0
1804,,1735.0,1735.0
2007,34.0,,34.0
2009,,1753.0,1753.0
2468,458.0,,458.0
2470,,1726.0,1726.0
2776,,2090.0,2090.0
2782,72.0,,72.0
2784,,1931.0,1931.0
3295,309.0,,309.0
3297,,2125.0,2125.0
3326,29.0,,29.0
3328,,1855.0,1855.0
3330,54.0,,54.0
3332,,1760.0,1760.0
3935,36.0,,36.0
3937,,1754.0,1754.0
4072,77.0,,77.0
4074,,1928.0,1928.0
4260,12.0,,12.0
4262,,1734.0,1734.0
average_simulation_TD,153.66666666666666,1870.3157894736842,
