record_id,td_sim_0,td_sim_1,record_atd
21,66.0,,66.0
23,,110.0,110.0
42,971.0,,971.0
44,,983.0,983.0
45,358.0,,358.0
47,,164.0,164.0
107,231.0,,231.0
109,,130.0,130.0
124,1144.0,,1144.0
126,,1108.0,1108.0
256,572.0,,572.0
258,,607.0,607.0
497,86.0,,86.0
498,527.0,,527.0
499,,269.0,269.0
500,,492.0,492.0
564,356.0,,356.0
566,,155.0,155.0
753,254.0,,254.0
755,,108.0,108.0
996,755.0,,755.0
998,,880.0,880.0
1214,125.0,,125.0
1216,,267.0,267.0
1345,14.0,,14.0
1347,,319.0,319.0
1478,22.0,,22.0
1480,,760.0,760.0
1564,250.0,,250.0
1565,221.0,,221.0
1566,,31.0,31.0
1567,,129.0,129.0
1597,1230.0,,1230.0
1599,,1097.0,1097.0
1664,278.0,,278.0
1666,,62.0,62.0
1713,2711.0,,2711.0
1715,,2717.0,2717.0
1794,731.0,,731.0
1796,,903.0,903.0
1826,,701.0,701.0
2408,417.0,,417.0
2410,,256.0,256.0
2597,2064.0,,2064.0
2599,,2080.0,2080.0
2672,405.0,,405.0
2674,,241.0,241.0
2707,1487.0,,1487.0
2709,,1396.0,1396.0
2803,311.0,,311.0
2805,,7.0,7.0
2812,216.0,,216.0
2814,,123.0,123.0
3020,987.0,,987.0
3022,,985.0,985.0
3108,4604.0,,4604.0
3110,,4577.0,4577.0
3158,352.0,,352.0
3160,,192.0,192.0
3162,4067.0,,4067.0
3164,,4209.0,4209.0
3286,158.0,,158.0
3288,,393.0,393.0
3386,368.0,,368.0
3388,,234.0,234.0
3432,247.0,,247.0
3434,,25.0,25.0
3522,1620.0,,1620.0
3524,,1715.0,1715.0
3824,313.0,,313.0
3826,,66.0,66.0
4009,316.0,,316.0
4011,,81.0,81.0
4079,235.0,,235.0
4081,,26.0,26.0
4309,1752.0,,1752.0
4311,,1903.0,1903.0
4943,219.0,,219.0
4945,,126.0,126.0
5127,246.0,,246.0
5129,,23.0,23.0
5230,239.0,,239.0
5232,,19.0,19.0
5238,288.0,,288.0
5240,,33.0,33.0
5333,481.0,,481.0
5335,,194.0,194.0
5378,699.0,,699.0
5380,,733.0,733.0
5414,1774.0,,1774.0
5416,,1896.0,1896.0
5823,732.0,,732.0
5825,,904.0,904.0
5852,222.0,,222.0
5854,,15.0,15.0
6020,6.0,,6.0
6022,,699.0,699.0
6035,319.0,,319.0
6037,,210.0,210.0
6045,215.0,,215.0
6047,,322.0,322.0
6441,130.0,,130.0
6443,,262.0,262.0
6643,16.0,,16.0
6645,,362.0,362.0
6738,242.0,,242.0
6740,,12.0,12.0
6793,294.0,,294.0
6795,,38.0,38.0
7008,217.0,,217.0
7010,,124.0,124.0
7052,80.0,,80.0
7054,,339.0,339.0
7151,4351.0,,4351.0
7153,,4666.0,4666.0
7154,712.0,,712.0
7156,,739.0,739.0
7191,862.0,,862.0
7193,,820.0,820.0
7246,53.0,,53.0
7248,,169.0,169.0
7407,430.0,,430.0
7409,,11.0,11.0
7489,238.0,,238.0
7491,,17.0,17.0
7693,240.0,,240.0
7695,,18.0,18.0
7768,132.0,,132.0
7770,,260.0,260.0
7774,241.0,,241.0
7776,,16.0,16.0
7980,103.0,,103.0
7982,,316.0,316.0
8617,2590.0,,2590.0
8619,,2525.0,2525.0
8635,50.0,,50.0
8637,,171.0,171.0
8665,154.0,,154.0
8667,,437.0,437.0
8830,1466.0,,1466.0
8832,,1662.0,1662.0
9072,1467.0,,1467.0
9074,,1663.0,1663.0
average_simulation_TD,708.8591549295775,698.6388888888889,
