record_id,td_sim_0,td_sim_1,record_atd
51,87.0,,87.0
53,,157.0,157.0
116,73.0,,73.0
118,,54.0,54.0
462,51.0,,51.0
464,,55.0,55.0
730,110.0,,110.0
732,,185.0,185.0
767,43.0,,43.0
769,,130.0,130.0
831,85.0,,85.0
833,,129.0,129.0
902,26.0,,26.0
904,,105.0,105.0
953,71.0,,71.0
955,,63.0,63.0
1033,77.0,,77.0
1035,,149.0,149.0
1180,78.0,,78.0
1182,,150.0,150.0
1248,48.0,,48.0
1250,,143.0,143.0
1356,65.0,,65.0
1358,,85.0,85.0
1429,160.0,,160.0
1431,,208.0,208.0
1514,107.0,,107.0
1516,,183.0,183.0
1556,,142.0,142.0
1565,243.0,,243.0
1567,,299.0,299.0
1746,27.0,,27.0
1748,,106.0,106.0
1881,5.0,,5.0
1883,,175.0,175.0
1994,91.0,,91.0
1996,,69.0,69.0
2279,76.0,,76.0
2281,,147.0,147.0
2496,55.0,,55.0
2498,,59.0,59.0
2545,2.0,,2.0
2547,,112.0,112.0
2624,62.0,,62.0
2626,,115.0,115.0
2740,121.0,,121.0
2742,,193.0,193.0
2803,102.0,,102.0
2805,,89.0,89.0
3076,64.0,,64.0
3078,,84.0,84.0
3314,98.0,,98.0
3316,,168.0,168.0
3442,635.0,,635.0
3444,,691.0,691.0
3608,74.0,,74.0
3610,,145.0,145.0
3680,45.0,,45.0
3682,,88.0,88.0
3769,38.0,,38.0
3771,,104.0,104.0
3842,61.0,,61.0
3844,,87.0,87.0
4154,125.0,,125.0
4156,,95.0,95.0
4201,106.0,,106.0
4203,,156.0,156.0
4269,68.0,,68.0
4271,,140.0,140.0
4327,72.0,,72.0
4329,,134.0,134.0
4377,83.0,,83.0
4379,,67.0,67.0
4461,34.0,,34.0
4463,,99.0,99.0
average_simulation_TD,91.02702702702703,141.05263157894737,
