record_id,td_sim_0,td_sim_1,record_atd
4,77.0,,77.0
6,,1.0,1.0
7,402.0,,402.0
9,,426.0,426.0
21,652.0,,652.0
23,,635.0,635.0
24,345.0,,345.0
26,,352.0,352.0
33,92.0,,92.0
35,,104.0,104.0
36,110.0,,110.0
38,,119.0,119.0
41,105.0,,105.0
43,,86.0,86.0
53,190.0,,190.0
55,,213.0,213.0
65,178.0,,178.0
67,,167.0,167.0
77,202.0,,202.0
79,,209.0,209.0
81,21.0,,21.0
83,,15.0,15.0
100,48.0,,48.0
102,,26.0,26.0
103,49.0,,49.0
105,,41.0,41.0
106,20.0,,20.0
108,,17.0,17.0
109,124.0,,124.0
110,85.0,,85.0
111,127.0,113.0,120.0
112,80.0,74.0,77.0
113,,116.0,116.0
114,,69.0,69.0
125,305.0,,305.0
127,,316.0,316.0
128,231.0,,231.0
130,,227.0,227.0
132,26.0,,26.0
134,,21.0,21.0
142,72.0,,72.0
144,134.0,49.0,91.5
146,,135.0,135.0
153,66.0,,66.0
155,,56.0,56.0
166,46.0,,46.0
168,,42.0,42.0
181,45.0,,45.0
183,,31.0,31.0
192,87.0,,87.0
194,,71.0,71.0
195,22.0,,22.0
196,31.0,,31.0
197,,18.0,18.0
198,,121.0,121.0
199,153.0,,153.0
201,,141.0,141.0
206,197.0,,197.0
208,,9.0,9.0
244,86.0,,86.0
246,,67.0,67.0
249,47.0,,47.0
251,,44.0,44.0
256,125.0,,125.0
257,256.0,,256.0
258,,115.0,115.0
259,,257.0,257.0
262,150.0,,150.0
264,,150.0,150.0
290,131.0,,131.0
292,14.0,129.0,71.5
293,234.0,,234.0
294,,46.0,46.0
295,,249.0,249.0
300,79.0,,79.0
302,,70.0,70.0
308,230.0,,230.0
310,,236.0,236.0
313,113.0,,113.0
315,,98.0,98.0
317,386.0,,386.0
319,,394.0,394.0
332,53.0,,53.0
334,19.0,4.0,11.5
335,215.0,,215.0
336,,11.0,11.0
337,,260.0,260.0
339,196.0,,196.0
341,,210.0,210.0
361,,188.0,188.0
362,62.0,,62.0
364,,55.0,55.0
379,167.0,,167.0
381,,176.0,176.0
392,219.0,,219.0
394,,216.0,216.0
403,42.0,,42.0
405,,36.0,36.0
410,214.0,,214.0
412,,203.0,203.0
418,356.0,,356.0
420,,344.0,344.0
422,54.0,,54.0
424,,7.0,7.0
429,271.0,,271.0
431,,252.0,252.0
437,430.0,,430.0
438,10.0,,10.0
439,,460.0,460.0
440,193.0,87.0,140.0
441,114.0,,114.0
442,,173.0,173.0
443,370.0,108.0,239.0
444,89.0,,89.0
445,,377.0,377.0
446,55.0,66.0,60.5
447,298.0,,298.0
448,,29.0,29.0
449,,289.0,289.0
456,18.0,,18.0
458,154.0,12.0,83.0
460,,140.0,140.0
477,137.0,,137.0
479,,91.0,91.0
492,296.0,,296.0
494,,293.0,293.0
497,52.0,,52.0
499,,40.0,40.0
500,272.0,,272.0
502,,263.0,263.0
504,74.0,,74.0
506,,64.0,64.0
518,51.0,,51.0
520,,30.0,30.0
522,43.0,,43.0
524,,34.0,34.0
542,60.0,,60.0
544,,50.0,50.0
560,426.0,,426.0
562,,432.0,432.0
565,83.0,,83.0
567,,79.0,79.0
569,163.0,,163.0
571,,159.0,159.0
574,226.0,,226.0
576,,239.0,239.0
608,294.0,,294.0
610,,287.0,287.0
616,487.0,,487.0
617,128.0,,128.0
618,,476.0,476.0
619,,124.0,124.0
622,67.0,,67.0
624,,62.0,62.0
637,354.0,,354.0
639,,348.0,348.0
653,64.0,,64.0
655,,53.0,53.0
666,16.0,,16.0
668,,13.0,13.0
675,276.0,,276.0
677,,299.0,299.0
679,395.0,,395.0
681,,399.0,399.0
714,37.0,,37.0
716,,78.0,78.0
718,112.0,,112.0
720,,82.0,82.0
average_simulation_TD,157.7840909090909,152.5056179775281,
