record_id,td_sim_0,td_sim_1,record_atd
75,333.0,,333.0
77,,187.0,187.0
83,99.0,,99.0
85,,113.0,113.0
146,62.0,,62.0
148,,68.0,68.0
160,25.0,,25.0
162,,49.0,49.0
175,13.0,,13.0
177,,28.0,28.0
306,76.0,,76.0
308,,81.0,81.0
409,22.0,,22.0
411,,48.0,48.0
429,58.0,,58.0
431,,59.0,59.0
501,107.0,,107.0
503,,117.0,117.0
525,36.0,,36.0
527,,15.0,15.0
610,273.0,,273.0
612,,242.0,242.0
820,85.0,,85.0
822,,93.0,93.0
872,258.0,,258.0
874,,289.0,289.0
928,118.0,,118.0
930,,106.0,106.0
1044,372.0,,372.0
1046,,373.0,373.0
1274,14.0,,14.0
1276,,27.0,27.0
1282,24.0,,24.0
1284,,34.0,34.0
1285,,37.0,37.0
1335,72.0,,72.0
1337,,79.0,79.0
1377,100.0,,100.0
1379,,111.0,111.0
1388,159.0,,159.0
1390,33.0,160.0,96.5
1392,,47.0,47.0
1495,10.0,,10.0
1497,,39.0,39.0
1516,254.0,,254.0
1518,,287.0,287.0
1569,27.0,,27.0
1571,,57.0,57.0
1605,65.0,,65.0
1607,,5.0,5.0
1612,945.0,,945.0
1614,,1073.0,1073.0
1669,15.0,,15.0
1671,,32.0,32.0
1678,34.0,,34.0
1680,,50.0,50.0
1730,132.0,,132.0
1732,,134.0,134.0
1745,16.0,,16.0
1747,,36.0,36.0
1757,6.0,,6.0
1759,,44.0,44.0
1784,40.0,,40.0
1786,,14.0,14.0
average_simulation_TD,121.34375,125.27272727272727,
