record_id,td_sim_0,td_sim_1,record_atd
142,293.0,334.0,313.5
346,43.0,75.0,59.0
497,1673.0,1755.0,1714.0
555,31.0,48.0,39.5
600,224.0,271.0,247.5
753,87.0,43.0,65.0
774,13.0,131.0,72.0
862,44.0,77.0,60.5
886,220.0,281.0,250.5
1262,14.0,130.0,72.0
1309,34.0,73.0,53.5
1440,133.0,179.0,156.0
1606,101.0,117.0,109.0
1655,32.0,50.0,41.0
1788,86.0,102.0,94.0
1888,,57.0,57.0
1980,92.0,144.0,118.0
2047,115.0,122.0,118.5
2280,126.0,163.0,144.5
2293,8.0,65.0,36.5
2334,10.0,60.0,35.0
2528,25.0,69.0,47.0
2714,245.0,230.0,237.5
2798,46.0,79.0,62.5
2839,66.0,54.0,60.0
2847,478.0,535.0,506.5
average_simulation_TD,169.56,201.69230769230768,
