record_id,td_sim_0,td_sim_1,record_atd
383,473.0,565.0,519.0
399,8.0,170.0,89.0
412,67.0,219.0,143.0
2035,1186.0,1256.0,1221.0
3076,177.0,246.0,211.5
4169,65.0,191.0,128.0
5287,15.0,178.0,96.5
5477,184.0,224.0,204.0
7476,1438.0,1839.0,1638.5
9167,524.0,586.0,555.0
9485,153.0,274.0,213.5
9878,185.0,228.0,206.5
11774,267.0,463.0,365.0
11803,19.0,168.0,93.5
12321,12.0,182.0,97.0
12605,68.0,201.0,134.5
13043,211.0,312.0,261.5
13509,2803.0,3076.0,2939.5
15365,3063.0,3001.0,3032.0
16211,1060.0,1079.0,1069.5
16870,9.0,167.0,88.0
16978,10.0,163.0,86.5
17368,227.0,318.0,272.5
18057,73.0,199.0,136.0
18487,216.0,313.0,264.5
20513,149.0,267.0,208.0
20933,75.0,202.0,138.5
21140,639.0,703.0,671.0
22307,205.0,304.0,254.5
24076,214.0,299.0,256.5
24549,56.0,173.0,114.5
25151,69.0,193.0,131.0
25248,13.0,177.0,95.0
25549,608.0,570.0,589.0
25999,571.0,895.0,733.0
26496,47.0,151.0,99.0
26747,109.0,296.0,202.5
26768,340.0,448.0,394.0
26957,1450.0,1579.0,1514.5
26999,486.0,608.0,547.0
27034,27.0,442.0,234.5
27074,,564.0,564.0
27196,14.0,181.0,97.5
28038,1572.0,1696.0,1634.0
28163,142.0,288.0,215.0
28653,228.0,307.0,267.5
28757,89.0,220.0,154.5
28843,202.0,240.0,221.0
30048,395.0,510.0,452.5
30807,215.0,310.0,262.5
33245,34.0,209.0,121.5
33297,54.0,286.0,170.0
33545,110.0,337.0,223.5
33568,226.0,300.0,263.0
34125,38.0,164.0,101.0
34210,244.0,327.0,285.5
34825,79.0,194.0,136.5
35085,94.0,204.0,149.0
35647,66.0,192.0,129.0
36193,23.0,281.0,152.0
36578,7.0,171.0,89.0
37216,63.0,187.0,125.0
average_simulation_TD,351.9016393442623,485.3709677419355,
