record_id,td_sim_0,td_sim_1,record_atd
68,150.0,164.0,157.0
228,38.0,56.0,47.0
259,94.0,63.0,78.5
273,203.0,203.0,203.0
373,54.0,44.0,49.0
497,50.0,71.0,60.5
543,116.0,132.0,124.0
779,103.0,98.0,100.5
955,141.0,134.0,137.5
1026,189.0,197.0,193.0
1038,170.0,162.0,166.0
1082,378.0,382.0,380.0
1121,134.0,123.0,128.5
1124,197.0,174.0,185.5
1183,92.0,89.0,90.5
1202,86.0,30.0,58.0
1210,73.0,93.0,83.0
1216,111.0,106.0,108.5
1230,81.0,136.0,108.5
1280,143.0,135.0,139.0
1476,442.0,428.0,435.0
1551,219.0,208.0,213.5
1554,176.0,176.0,176.0
1596,48.0,24.0,36.0
1824,9.0,13.0,11.0
1918,6.0,14.0,10.0
1928,118.0,31.0,74.5
1964,193.0,177.0,185.0
1984,37.0,54.0,45.5
2146,16.0,25.0,20.5
2329,273.0,273.0,273.0
2492,69.0,84.0,76.5
2552,34.0,51.0,42.5
2571,45.0,58.0,51.5
2686,60.0,74.0,67.0
2775,95.0,20.0,57.5
2842,32.0,42.0,37.0
3038,41.0,52.0,46.5
3071,98.0,97.0,97.5
3143,24.0,18.0,21.0
3163,127.0,103.0,115.0
3169,177.0,180.0,178.5
3258,53.0,65.0,59.0
3342,26.0,36.0,31.0
3689,72.0,81.0,76.5
4194,15.0,9.0,12.0
4241,107.0,95.0,101.0
4400,23.0,17.0,20.0
4488,42.0,50.0,46.0
4506,35.0,53.0,44.0
4543,104.0,113.0,108.5
4549,138.0,109.0,123.5
4560,180.0,161.0,170.5
4651,405.0,388.0,396.5
4873,156.0,171.0,163.5
4877,36.0,49.0,42.5
4905,4.0,7.0,5.5
4926,57.0,76.0,66.5
4931,43.0,62.0,52.5
5055,78.0,101.0,89.5
5084,33.0,46.0,39.5
5176,47.0,61.0,54.0
5177,120.0,114.0,117.0
5262,1.0,3.0,2.0
5302,128.0,128.0,128.0
5308,171.0,190.0,180.5
5328,168.0,183.0,175.5
5347,66.0,47.0,56.5
5425,27.0,37.0,32.0
5428,,4.0,4.0
5640,25.0,34.0,29.5
5647,1649.0,1767.0,1708.0
5828,93.0,91.0,92.0
6002,102.0,116.0,109.0
6033,129.0,129.0,129.0
6085,165.0,175.0,170.0
6165,28.0,38.0,33.0
6303,124.0,112.0,118.0
6520,8.0,12.0,10.0
6566,199.0,232.0,215.5
6718,184.0,187.0,185.5
6815,112.0,117.0,114.5
6963,39.0,55.0,47.0
7084,133.0,125.0,129.0
7263,137.0,140.0,138.5
7362,173.0,172.0,172.5
7450,140.0,149.0,144.5
7509,300.0,289.0,294.5
7571,12.0,16.0,14.0
7691,113.0,121.0,117.0
7700,97.0,19.0,58.0
7788,155.0,147.0,151.0
7797,49.0,60.0,54.5
7878,181.0,182.0,181.5
7905,122.0,122.0,122.0
7913,185.0,191.0,188.0
8078,88.0,94.0,91.0
8355,2.0,5.0,3.5
8366,29.0,39.0,34.0
8477,67.0,35.0,51.0
8528,208.0,216.0,212.0
8612,169.0,181.0,175.0
8679,233.0,165.0,199.0
8751,10.0,11.0,10.5
average_simulation_TD,123.66019417475728,123.01923076923077,
