record_id,td_sim_0,td_sim_1,record_atd
6,409.0,444.0,426.5
19,19.0,38.0,28.5
25,308.0,321.0,314.5
30,65.0,102.0,83.5
34,21.0,66.0,43.5
41,253.0,293.0,273.0
102,160.0,170.0,165.0
104,161.0,219.0,190.0
136,12.0,41.0,26.5
138,109.0,160.0,134.5
144,106.0,134.0,120.0
158,67.0,79.0,73.0
162,129.0,80.0,104.5
168,72.0,89.0,80.5
174,177.0,197.0,187.0
184,74.0,90.0,82.0
213,59.0,69.0,64.0
214,24.0,56.0,40.0
217,355.0,343.0,349.0
244,1.0,30.0,15.5
253,25.0,178.0,101.5
271,10.0,40.0,25.0
282,52.0,78.0,65.0
287,116.0,169.0,142.5
290,34.0,64.0,49.0
291,28.0,58.0,43.0
298,71.0,83.0,77.0
301,,29.0,29.0
336,23.0,65.0,44.0
359,193.0,288.0,240.5
382,333.0,370.0,351.5
387,136.0,173.0,154.5
394,31.0,73.0,52.0
406,83.0,103.0,93.0
409,40.0,42.0,41.0
414,1098.0,1088.0,1093.0
415,494.0,503.0,498.5
422,456.0,479.0,467.5
435,231.0,242.0,236.5
460,325.0,335.0,330.0
462,240.0,245.0,242.5
463,18.0,47.0,32.5
478,2.0,35.0,18.5
504,61.0,76.0,68.5
513,374.0,359.0,366.5
550,13.0,45.0,29.0
552,270.0,280.0,275.0
556,289.0,23.0,156.0
585,153.0,182.0,167.5
604,39.0,109.0,74.0
637,453.0,486.0,469.5
659,6.0,34.0,20.0
675,104.0,132.0,118.0
736,15.0,51.0,33.0
741,332.0,341.0,336.5
753,33.0,59.0,46.0
758,274.0,325.0,299.5
762,102.0,125.0,113.5
774,68.0,100.0,84.0
791,9.0,37.0,23.0
795,520.0,542.0,531.0
813,245.0,281.0,263.0
818,118.0,141.0,129.5
819,30.0,139.0,84.5
821,111.0,161.0,136.0
829,209.0,237.0,223.0
835,5.0,36.0,20.5
839,35.0,67.0,51.0
854,51.0,112.0,81.5
858,36.0,74.0,55.0
865,190.0,228.0,209.0
904,66.0,113.0,89.5
916,99.0,128.0,113.5
932,147.0,151.0,149.0
954,445.0,450.0,447.5
974,20.0,48.0,34.0
1011,97.0,104.0,100.5
1015,81.0,101.0,91.0
1021,101.0,124.0,112.5
1048,444.0,447.0,445.5
1049,73.0,91.0,82.0
1055,457.0,471.0,464.0
1062,442.0,449.0,445.5
1068,4.0,33.0,18.5
1070,460.0,465.0,462.5
1087,152.0,185.0,168.5
1095,252.0,268.0,260.0
1100,64.0,96.0,80.0
1109,62.0,86.0,74.0
1119,491.0,474.0,482.5
1120,45.0,75.0,60.0
1137,230.0,235.0,232.5
1138,8.0,39.0,23.5
1150,555.0,599.0,577.0
1155,117.0,137.0,127.0
1159,69.0,88.0,78.5
average_simulation_TD,165.74736842105264,187.98958333333334,
