record_id,td_sim_0,td_sim_1,record_atd
0,309.0,336.0,322.5
11,315.0,341.0,328.0
22,729.0,813.0,771.0
33,161.0,283.0,222.0
41,755.0,777.0,766.0
42,1433.0,1430.0,1431.5
56,813.0,878.0,845.5
67,639.0,681.0,660.0
77,1920.0,2020.0,1970.0
91,87.0,99.0,93.0
105,2698.0,2715.0,2706.5
108,1351.0,1354.0,1352.5
115,1525.0,1562.0,1543.5
137,2992.0,2999.0,2995.5
152,106.0,169.0,137.5
165,2.0,109.0,55.5
174,608.0,538.0,573.0
176,63.0,135.0,99.0
180,410.0,458.0,434.0
188,61.0,188.0,124.5
212,601.0,606.0,603.5
227,1448.0,1477.0,1462.5
246,1940.0,2023.0,1981.5
272,528.0,639.0,583.5
289,22.0,75.0,48.5
299,1136.0,1151.0,1143.5
311,441.0,423.0,432.0
329,2458.0,2400.0,2429.0
389,154.0,193.0,173.5
408,1559.0,1614.0,1586.5
411,928.0,947.0,937.5
413,1199.0,1216.0,1207.5
420,141.0,183.0,162.0
423,19.0,114.0,66.5
425,1379.0,1368.0,1373.5
500,466.0,520.0,493.0
516,329.0,492.0,410.5
534,1631.0,1558.0,1594.5
549,285.0,51.0,168.0
550,551.0,594.0,572.5
554,970.0,978.0,974.0
579,206.0,224.0,215.0
586,421.0,24.0,222.5
587,3419.0,3440.0,3429.5
626,1648.0,1505.0,1576.5
636,3245.0,3223.0,3234.0
661,1443.0,1434.0,1438.5
672,48.0,100.0,74.0
674,15.0,117.0,66.0
683,1372.0,1360.0,1366.0
690,943.0,940.0,941.5
698,70.0,67.0,68.5
735,24.0,78.0,51.0
741,468.0,532.0,500.0
748,886.0,919.0,902.5
785,54.0,106.0,80.0
787,322.0,354.0,338.0
805,1386.0,1388.0,1387.0
838,327.0,356.0,341.5
848,1678.0,1660.0,1669.0
853,1441.0,1441.0,1441.0
865,1451.0,1443.0,1447.0
868,160.0,240.0,200.0
886,1740.0,1783.0,1761.5
888,267.0,325.0,296.0
889,897.0,902.0,899.5
890,255.0,320.0,287.5
915,3733.0,3765.0,3749.0
946,342.0,362.0,352.0
961,2967.0,2981.0,2974.0
1021,682.0,689.0,685.5
1026,1008.0,1074.0,1041.0
1033,1368.0,1344.0,1356.0
1047,325.0,345.0,335.0
1048,2113.0,2214.0,2163.5
1051,279.0,359.0,319.0
1092,92.0,155.0,123.5
1099,1983.0,1943.0,1963.0
1114,1695.0,1700.0,1697.5
1119,1415.0,1422.0,1418.5
1121,450.0,21.0,235.5
1134,494.0,565.0,529.5
1145,225.0,270.0,247.5
1155,1366.0,1350.0,1358.0
1167,1361.0,1353.0,1357.0
1188,1051.0,1066.0,1058.5
1221,2466.0,2480.0,2473.0
1228,2064.0,2141.0,2102.5
1235,1580.0,1617.0,1598.5
1268,775.0,776.0,775.5
1270,3664.0,3689.0,3676.5
1285,2202.0,2234.0,2218.0
1308,867.0,852.0,859.5
1311,2609.0,2561.0,2585.0
1317,859.0,862.0,860.5
1338,385.0,387.0,386.0
1353,38.0,96.0,67.0
1356,1675.0,1711.0,1693.0
1394,490.0,487.0,488.5
1400,164.0,414.0,289.0
1407,428.0,37.0,232.5
1409,1148.0,1134.0,1141.0
1413,3962.0,3986.0,3974.0
1416,210.0,264.0,237.0
1434,2479.0,2342.0,2410.5
1438,277.0,55.0,166.0
1440,4262.0,4309.0,4285.5
1451,2525.0,2587.0,2556.0
1455,78.0,111.0,94.5
1457,43.0,70.0,56.5
1495,911.0,35.0,473.0
1520,1353.0,1293.0,1323.0
1535,2289.0,2210.0,2249.5
1539,3086.0,3194.0,3140.0
1542,578.0,595.0,586.5
1557,727.0,745.0,736.0
1566,1312.0,1651.0,1481.5
1569,1161.0,1194.0,1177.5
1573,964.0,1046.0,1005.0
1584,27.0,82.0,54.5
1586,2262.0,2208.0,2235.0
1597,520.0,555.0,537.5
1617,168.0,60.0,114.0
1645,1647.0,1626.0,1636.5
1660,8.0,105.0,56.5
1670,126.0,234.0,180.0
1691,1405.0,1395.0,1400.0
1694,1555.0,1510.0,1532.5
1697,1364.0,1413.0,1388.5
1706,1685.0,1945.0,1815.0
1715,2726.0,2721.0,2723.5
1725,469.0,515.0,492.0
1729,1566.0,1607.0,1586.5
1738,1283.0,1650.0,1466.5
1752,507.0,533.0,520.0
1758,1781.0,1956.0,1868.5
1760,2057.0,2148.0,2102.5
1782,1442.0,1444.0,1443.0
1795,904.0,1017.0,960.5
1818,1378.0,1361.0,1369.5
1822,55.0,68.0,61.5
1823,577.0,589.0,583.0
1842,1074.0,1152.0,1113.0
1853,2091.0,2096.0,2093.5
1876,756.0,759.0,757.5
1879,439.0,441.0,440.0
1880,2515.0,2543.0,2529.0
1884,62.0,115.0,88.5
1939,380.0,371.0,375.5
1992,2324.0,2308.0,2316.0
1995,722.0,761.0,741.5
2008,2455.0,2618.0,2536.5
2014,149.0,189.0,169.0
2016,113.0,146.0,129.5
2021,1710.0,1669.0,1689.5
2030,89.0,180.0,134.5
2032,693.0,732.0,712.5
2037,1444.0,1447.0,1445.5
2058,1553.0,1571.0,1562.0
2062,144.0,164.0,154.0
2064,1026.0,1073.0,1049.5
2073,448.0,38.0,243.0
2077,1763.0,1862.0,1812.5
2089,95.0,69.0,82.0
2096,200.0,244.0,222.0
2113,1454.0,1484.0,1469.0
2115,46.0,91.0,68.5
2150,147.0,65.0,106.0
2157,64.0,166.0,115.0
2161,1495.0,1456.0,1475.5
2164,725.0,700.0,712.5
2171,53.0,74.0,63.5
2181,97.0,152.0,124.5
2182,58.0,139.0,98.5
2191,2498.0,2638.0,2568.0
2209,2375.0,2470.0,2422.5
2223,294.0,52.0,173.0
2224,36.0,90.0,63.0
2231,377.0,321.0,349.0
2239,119.0,157.0,138.0
2247,2658.0,2522.0,2590.0
2257,369.0,463.0,416.0
2263,354.0,358.0,356.0
2267,403.0,437.0,420.0
2272,1579.0,1583.0,1581.0
2287,295.0,323.0,309.0
2291,1892.0,1955.0,1923.5
2302,2564.0,2521.0,2542.5
2312,564.0,576.0,570.0
2343,1603.0,1641.0,1622.0
2348,344.0,503.0,423.5
2354,1359.0,1349.0,1354.0
2365,68.0,66.0,67.0
2368,1593.0,1574.0,1583.5
2419,1280.0,1235.0,1257.5
2421,1109.0,1047.0,1078.0
2445,1309.0,1379.0,1344.0
2450,110.0,185.0,147.5
2463,2585.0,2563.0,2574.0
2472,1852.0,1725.0,1788.5
2520,1491.0,1472.0,1481.5
2545,2254.0,2190.0,2222.0
2553,598.0,631.0,614.5
2561,1934.0,1984.0,1959.0
2573,1277.0,1294.0,1285.5
2576,223.0,286.0,254.5
2587,713.0,727.0,720.0
2626,580.0,577.0,578.5
2635,165.0,213.0,189.0
2664,2337.0,2401.0,2369.0
2666,443.0,456.0,449.5
2672,1661.0,1739.0,1700.0
2706,184.0,263.0,223.5
2712,666.0,679.0,672.5
2728,217.0,268.0,242.5
2730,127.0,44.0,85.5
2740,197.0,312.0,254.5
2751,2898.0,2972.0,2935.0
2759,1898.0,1957.0,1927.5
2762,1943.0,1887.0,1915.0
2785,30.0,80.0,55.0
2792,790.0,876.0,833.0
2843,757.0,779.0,768.0
2855,1902.0,1959.0,1930.5
2861,1610.0,1549.0,1579.5
2865,2294.0,2485.0,2389.5
2873,41.0,102.0,71.5
2877,276.0,54.0,165.0
2899,20.0,127.0,73.5
2909,832.0,942.0,887.0
2916,907.0,987.0,947.0
2939,1401.0,1376.0,1388.5
2943,1093.0,1052.0,1072.5
2983,1302.0,1479.0,1390.5
3020,1075.0,1095.0,1085.0
3030,2255.0,2270.0,2262.5
3031,39.0,95.0,67.0
3035,1652.0,1634.0,1643.0
3053,80.0,211.0,145.5
3080,856.0,893.0,874.5
3089,71.0,141.0,106.0
3092,1769.0,1785.0,1777.0
3121,1238.0,1342.0,1290.0
3128,1416.0,1423.0,1419.5
3129,341.0,395.0,368.0
3135,820.0,812.0,816.0
3141,96.0,151.0,123.5
3144,134.0,62.0,98.0
3164,1298.0,1374.0,1336.0
3165,1376.0,1359.0,1367.5
3179,91.0,136.0,113.5
3203,597.0,638.0,617.5
3213,1047.0,1178.0,1112.5
3217,76.0,137.0,106.5
3219,47.0,108.0,77.5
3220,888.0,766.0,827.0
3229,758.0,781.0,769.5
3244,31.0,87.0,59.0
3248,370.0,380.0,375.0
3287,1050.0,1084.0,1067.0
3290,79.0,128.0,103.5
3293,1017.0,1036.0,1026.5
3295,527.0,593.0,560.0
3298,477.0,504.0,490.5
3301,82.0,167.0,124.5
3317,7.0,107.0,57.0
3328,2072.0,1992.0,2032.0
3355,640.0,701.0,670.5
3358,1392.0,1370.0,1381.0
3365,1445.0,1445.0,1445.0
3384,589.0,620.0,604.5
3389,324.0,377.0,350.5
3455,692.0,617.0,654.5
3456,2608.0,2567.0,2587.5
3457,941.0,985.0,963.0
3471,74.0,123.0,98.5
3478,1674.0,1316.0,1495.0
3495,298.0,363.0,330.5
3503,509.0,516.0,512.5
3521,1397.0,1378.0,1387.5
3534,446.0,26.0,236.0
3543,142.0,227.0,184.5
3545,1311.0,1310.0,1310.5
3554,4983.0,5051.0,5017.0
3571,585.0,61.0,323.0
3585,1530.0,1542.0,1536.0
3595,42.0,72.0,57.0
3607,306.0,335.0,320.5
3624,1417.0,1424.0,1420.5
3634,1178.0,1168.0,1173.0
3640,108.0,186.0,147.0
3647,1165.0,1195.0,1180.0
3653,366.0,418.0,392.0
3658,536.0,605.0,570.5
3687,3581.0,3733.0,3657.0
3694,652.0,698.0,675.0
3727,172.0,245.0,208.5
3747,32.0,85.0,58.5
3755,461.0,485.0,473.0
3759,480.0,39.0,259.5
3767,21.0,125.0,73.0
3774,1299.0,1335.0,1317.0
3781,1628.0,1655.0,1641.5
3788,1630.0,1594.0,1612.0
3802,647.0,683.0,665.0
3827,1412.0,1408.0,1410.0
3831,1242.0,1200.0,1221.0
3837,658.0,718.0,688.0
3865,1843.0,1923.0,1883.0
3868,187.0,309.0,248.0
3887,396.0,427.0,411.5
3891,1815.0,1893.0,1854.0
3905,2737.0,2708.0,2722.5
3914,130.0,209.0,169.5
3925,167.0,282.0,224.5
3933,3611.0,3592.0,3601.5
3941,1563.0,1522.0,1542.5
3942,1825.0,1899.0,1862.0
3960,938.0,957.0,947.5
4029,196.0,265.0,230.5
4044,73.0,116.0,94.5
4092,430.0,411.0,420.5
4097,365.0,416.0,390.5
4101,3048.0,3150.0,3099.0
4121,1149.0,1127.0,1138.0
4123,1419.0,1412.0,1415.5
4155,2204.0,2495.0,2349.5
4159,349.0,367.0,358.0
4171,437.0,474.0,455.5
4174,2536.0,2527.0,2531.5
4180,1508.0,1508.0,1508.0
4230,2677.0,2645.0,2661.0
4232,271.0,266.0,268.5
4238,2946.0,3078.0,3012.0
4254,105.0,178.0,141.5
4266,14.0,129.0,71.5
4272,139.0,132.0,135.5
4277,1916.0,2007.0,1961.5
4280,2504.0,2628.0,2566.0
4296,272.0,328.0,300.0
4301,540.0,568.0,554.0
4316,624.0,780.0,702.0
4319,239.0,351.0,295.0
4333,29.0,86.0,57.5
4362,189.0,228.0,208.5
4368,1481.0,1499.0,1490.0
4389,424.0,25.0,224.5
4397,2725.0,2664.0,2694.5
4403,1954.0,1964.0,1959.0
4412,1408.0,1478.0,1443.0
4418,44.0,126.0,85.0
4429,100.0,179.0,139.5
4451,5922.0,5953.0,5937.5
4452,2818.0,2866.0,2842.0
4456,2266.0,2274.0,2270.0
4480,1978.0,2005.0,1991.5
4494,1.0,110.0,55.5
4526,136.0,229.0,182.5
4527,419.0,42.0,230.5
4539,484.0,500.0,492.0
4548,384.0,372.0,378.0
4549,1473.0,1470.0,1471.5
4550,280.0,332.0,306.0
4576,268.0,311.0,289.5
4597,760.0,822.0,791.0
4598,129.0,148.0,138.5
4600,228.0,298.0,263.0
4601,296.0,322.0,309.0
4615,155.0,195.0,175.0
4622,961.0,954.0,957.5
4624,231.0,296.0,263.5
4636,321.0,287.0,304.0
4680,1196.0,1254.0,1225.0
4693,66.0,124.0,95.0
4694,1944.0,1946.0,1945.0
4702,273.0,329.0,301.0
4709,1542.0,1540.0,1541.0
4750,17.0,119.0,68.0
4751,1438.0,1438.0,1438.0
4753,2750.0,2939.0,2844.5
4766,1440.0,1440.0,1440.0
4793,717.0,741.0,729.0
4801,209.0,288.0,248.5
4808,232.0,261.0,246.5
4811,1759.0,1770.0,1764.5
4820,611.0,636.0,623.5
4823,45.0,92.0,68.5
4825,368.0,422.0,395.0
4832,123.0,230.0,176.5
4844,3181.0,3172.0,3176.5
4847,301.0,364.0,332.5
4851,1926.0,1808.0,1867.0
4855,435.0,510.0,472.5
4874,840.0,943.0,891.5
4899,1516.0,1661.0,1588.5
4938,1407.0,1397.0,1402.0
4945,125.0,187.0,156.0
4949,486.0,486.0,486.0
4951,357.0,415.0,386.0
4972,1267.0,1304.0,1285.5
4986,1418.0,1419.0,1418.5
4995,1782.0,1709.0,1745.5
4998,148.0,219.0,183.5
5003,26.0,81.0,53.5
5004,1521.0,1575.0,1548.0
5014,1925.0,1952.0,1938.5
5025,28.0,77.0,52.5
5032,4371.0,4326.0,4348.5
5042,221.0,279.0,250.0
5051,1294.0,1619.0,1456.5
5060,681.0,707.0,694.0
5097,2047.0,2046.0,2046.5
5111,348.0,357.0,352.5
5130,249.0,33.0,141.0
5145,234.0,56.0,145.0
5158,99.0,161.0,130.0
5163,1504.0,1572.0,1538.0
5171,60.0,138.0,99.0
5181,818.0,816.0,817.0
5202,1596.0,1543.0,1569.5
5224,1424.0,1416.0,1420.0
5225,1492.0,1486.0,1489.0
5230,4579.0,4552.0,4565.5
5266,1722.0,1657.0,1689.5
5299,1399.0,1396.0,1397.5
5307,1403.0,1392.0,1397.5
5308,1339.0,1326.0,1332.5
5329,1013.0,1008.0,1010.5
5361,733.0,695.0,714.0
5376,2679.0,2710.0,2694.5
5388,2661.0,2679.0,2670.0
5404,124.0,160.0,142.0
5438,1058.0,1165.0,1111.5
5477,3.0,112.0,57.5
5482,2586.0,2571.0,2578.5
5515,5.0,104.0,54.5
5565,1455.0,1452.0,1453.5
5585,426.0,27.0,226.5
5595,254.0,30.0,142.0
5600,1429.0,1414.0,1421.5
5654,412.0,440.0,426.0
5662,876.0,842.0,859.0
5665,1924.0,2021.0,1972.5
5670,802.0,861.0,831.5
5693,986.0,989.0,987.5
5702,219.0,342.0,280.5
5705,1367.0,1348.0,1357.5
5707,2144.0,2124.0,2134.0
5710,628.0,652.0,640.0
5719,1370.0,1355.0,1362.5
5738,411.0,428.0,419.5
5747,185.0,242.0,213.5
5764,2951.0,2975.0,2963.0
5774,1895.0,1868.0,1881.5
5782,1447.0,1459.0,1453.0
5787,1900.0,1927.0,1913.5
5789,1518.0,3.0,760.5
5803,222.0,285.0,253.5
5804,623.0,645.0,634.0
5811,1570.0,1578.0,1574.0
5816,1479.0,1468.0,1473.5
5834,1434.0,1432.0,1433.0
5840,2325.0,2360.0,2342.5
5841,600.0,665.0,632.5
5846,776.0,783.0,779.5
5848,1355.0,1333.0,1344.0
5855,,588.0,588.0
5862,862.0,830.0,846.0
5867,530.0,28.0,279.0
5940,2995.0,3027.0,3011.0
5965,23.0,76.0,49.5
5967,1650.0,1736.0,1693.0
5982,3314.0,3352.0,3333.0
5984,1197.0,1252.0,1224.5
5994,1371.0,1357.0,1364.0
6017,1428.0,1418.0,1423.0
6019,1641.0,1636.0,1638.5
6066,194.0,280.0,237.0
6103,122.0,170.0,146.0
6105,525.0,612.0,568.5
6123,33.0,88.0,60.5
6127,569.0,528.0,548.5
6128,207.0,246.0,226.5
6146,3602.0,3614.0,3608.0
6154,84.0,142.0,113.0
6169,619.0,624.0,621.5
6173,625.0,677.0,651.0
6191,57.0,217.0,137.0
6193,2147.0,2218.0,2182.5
6198,1532.0,1592.0,1562.0
6201,510.0,524.0,517.0
6210,1423.0,1429.0,1426.0
6212,2771.0,2788.0,2779.5
6225,2596.0,2658.0,2627.0
6228,282.0,338.0,310.0
6238,851.0,907.0,879.0
6246,103.0,154.0,128.5
6260,1757.0,1769.0,1763.0
6270,335.0,343.0,339.0
6284,1398.0,1393.0,1395.5
6286,885.0,960.0,922.5
6293,782.0,838.0,810.0
6300,2410.0,2298.0,2354.0
6311,1247.0,1382.0,1314.5
6321,464.0,483.0,473.5
6324,3269.0,3292.0,3280.5
6326,1348.0,1599.0,1473.5
6327,1383.0,1365.0,1374.0
6339,616.0,556.0,586.0
6351,373.0,53.0,213.0
6354,452.0,480.0,466.0
6358,156.0,204.0,180.0
6367,643.0,637.0,640.0
6374,1474.0,1439.0,1456.5
6397,749.0,755.0,752.0
6414,101.0,184.0,142.5
6437,1063.0,965.0,1014.0
6458,997.0,1013.0,1005.0
6483,399.0,404.0,401.5
6489,353.0,355.0,354.0
6493,297.0,316.0,306.5
6501,290.0,304.0,297.0
6517,49.0,93.0,71.0
6519,69.0,133.0,101.0
6536,972.0,1039.0,1005.5
6541,735.0,748.0,741.5
6576,2327.0,2264.0,2295.5
6586,1264.0,1279.0,1271.5
6590,326.0,32.0,179.0
6622,1374.0,1356.0,1365.0
6636,201.0,294.0,247.5
6640,1358.0,1351.0,1354.5
6653,2165.0,2324.0,2244.5
6666,2025.0,2172.0,2098.5
6673,1953.0,1958.0,1955.5
6675,504.0,603.0,553.5
6677,1382.0,1371.0,1376.5
6678,312.0,421.0,366.5
6709,1357.0,1337.0,1347.0
6742,571.0,554.0,562.5
6760,420.0,513.0,466.5
6781,75.0,144.0,109.5
6789,1487.0,1509.0,1498.0
6798,1432.0,1435.0,1433.5
6807,1369.0,1340.0,1354.5
6813,1400.0,1390.0,1395.0
6814,1071.0,1102.0,1086.5
6818,866.0,898.0,882.0
6837,379.0,40.0,209.5
6841,1690.0,1692.0,1691.0
6845,1102.0,1067.0,1084.5
6860,1891.0,1843.0,1867.0
6862,1452.0,1461.0,1456.5
6869,1411.0,1400.0,1405.5
6907,1463.0,1442.0,1452.5
6908,548.0,598.0,573.0
6922,138.0,207.0,172.5
6923,25.0,79.0,52.0
6925,425.0,436.0,430.5
6940,579.0,541.0,560.0
6943,1010.0,1043.0,1026.5
6962,2470.0,2512.0,2491.0
6977,703.0,705.0,704.0
6983,52.0,153.0,102.5
6986,1475.0,1492.0,1483.5
6995,18.0,122.0,70.0
7004,347.0,353.0,350.0
7012,2290.0,2006.0,2148.0
7020,444.0,454.0,449.0
7048,634.0,682.0,658.0
7050,2013.0,2000.0,2006.5
7080,120.0,220.0,170.0
7103,107.0,156.0,131.5
7104,233.0,256.0,244.5
7105,771.0,767.0,769.0
7109,2623.0,2606.0,2614.5
7118,118.0,190.0,154.0
7134,1801.0,1840.0,1820.5
7148,1023.0,1133.0,1078.0
7162,383.0,373.0,378.0
7181,478.0,495.0,486.5
7191,289.0,49.0,169.0
7197,111.0,191.0,151.0
average_simulation_TD,1032.274914089347,1045.4442538593482,
