record_id,td_sim_0,td_sim_1,record_atd
15,87.0,115.0,101.0
28,50.0,71.0,60.5
67,189.0,210.0,199.5
129,346.0,381.0,363.5
151,101.0,145.0,123.0
184,188.0,209.0,198.5
194,43.0,80.0,61.5
196,129.0,171.0,150.0
206,28.0,61.0,44.5
216,51.0,72.0,61.5
232,114.0,147.0,130.5
247,33.0,53.0,43.0
265,205.0,231.0,218.0
282,243.0,224.0,233.5
283,,36.0,36.0
284,25.0,52.0,38.5
310,81.0,95.0,88.0
326,27.0,56.0,41.5
350,5.0,38.0,21.5
357,42.0,90.0,66.0
372,92.0,110.0,101.0
421,54.0,75.0,64.5
434,124.0,26.0,75.0
483,6.0,39.0,22.5
531,113.0,137.0,125.0
575,26.0,57.0,41.5
611,45.0,101.0,73.0
639,59.0,76.0,67.5
671,46.0,118.0,82.0
707,7.0,40.0,23.5
742,382.0,402.0,392.0
802,160.0,202.0,181.0
808,23.0,54.0,38.5
814,10.0,42.0,26.0
826,84.0,98.0,91.0
865,29.0,58.0,43.5
874,15.0,48.0,31.5
average_simulation_TD,90.61111111111111,114.05405405405405,
