record_id,td_sim_0,td_sim_1,record_atd
26,27.0,24.0,25.5
42,240.0,208.0,224.0
46,178.0,154.0,166.0
52,51.0,15.0,33.0
69,62.0,64.0,63.0
98,105.0,85.0,95.0
103,130.0,111.0,120.5
110,30.0,28.0,29.0
114,282.0,256.0,269.0
127,78.0,70.0,74.0
146,84.0,54.0,69.0
159,43.0,17.0,30.0
164,173.0,125.0,149.0
187,120.0,105.0,112.5
194,114.0,120.0,117.0
199,201.0,185.0,193.0
202,29.0,27.0,28.0
204,95.0,100.0,97.5
210,55.0,19.0,37.0
220,115.0,114.0,114.5
254,865.0,864.0,864.5
257,167.0,231.0,199.0
278,35.0,32.0,33.5
282,199.0,174.0,186.5
295,244.0,210.0,227.0
302,102.0,102.0,102.0
313,223.0,160.0,191.5
345,124.0,8.0,66.0
358,37.0,38.0,37.5
359,57.0,49.0,53.0
392,222.0,161.0,191.5
415,88.0,77.0,82.5
418,129.0,94.0,111.5
429,80.0,75.0,77.5
432,54.0,43.0,48.5
493,53.0,39.0,46.0
508,74.0,45.0,59.5
510,52.0,10.0,31.0
535,910.0,922.0,916.0
543,89.0,71.0,80.0
553,38.0,36.0,37.0
556,73.0,59.0,66.0
560,356.0,334.0,345.0
562,87.0,83.0,85.0
567,33.0,30.0,31.5
584,268.0,280.0,274.0
591,213.0,212.0,212.5
606,113.0,119.0,116.0
643,41.0,22.0,31.5
656,358.0,336.0,347.0
669,24.0,25.0,24.5
697,36.0,33.0,34.5
702,46.0,35.0,40.5
735,175.0,189.0,182.0
739,132.0,118.0,125.0
744,202.0,188.0,195.0
745,135.0,113.0,124.0
749,123.0,9.0,66.0
773,106.0,88.0,97.0
786,70.0,63.0,66.5
788,,371.0,371.0
795,72.0,61.0,66.5
798,261.0,270.0,265.5
826,190.0,169.0,179.5
838,127.0,12.0,69.5
839,31.0,20.0,25.5
840,66.0,57.0,61.5
851,134.0,123.0,128.5
859,77.0,65.0,71.0
887,32.0,29.0,30.5
907,140.0,116.0,128.0
955,59.0,51.0,55.0
956,249.0,224.0,236.5
969,76.0,69.0,72.5
average_simulation_TD,139.16438356164383,125.60810810810811,
