record_id,td_sim_0,td_sim_1,record_atd
42,383.0,1565.0,974.0
56,1330.0,537.0,933.5
167,3641.0,3747.0,3694.0
197,4163.0,4222.0,4192.5
205,3100.0,2936.0,3018.0
320,1577.0,882.0,1229.5
390,1942.0,727.0,1334.5
431,1501.0,905.0,1203.0
470,1572.0,865.0,1218.5
628,2948.0,2563.0,2755.5
665,2966.0,2557.0,2761.5
676,219.0,1752.0,985.5
696,1078.0,6.0,542.0
707,3455.0,3444.0,3449.5
755,1096.0,163.0,629.5
760,1570.0,863.0,1216.5
797,1305.0,1135.0,1220.0
882,1768.0,1448.0,1608.0
924,3578.0,3648.0,3613.0
1126,1016.0,96.0,556.0
1166,455.0,1633.0,1044.0
1330,2475.0,2409.0,2442.0
1364,888.0,293.0,590.5
1416,3047.0,3000.0,3023.5
1433,4440.0,4450.0,4445.0
1441,3430.0,3514.0,3472.0
1470,1445.0,756.0,1100.5
1534,1995.0,2001.0,1998.0
1579,3704.0,3584.0,3644.0
1600,433.0,1608.0,1020.5
1608,1321.0,1631.0,1476.0
1666,1478.0,1270.0,1374.0
1742,866.0,361.0,613.5
1758,1271.0,563.0,917.0
1830,3932.0,3834.0,3883.0
1863,1369.0,1492.0,1430.5
1879,1513.0,769.0,1141.0
1929,791.0,329.0,560.0
1966,946.0,576.0,761.0
2060,3401.0,3434.0,3417.5
2100,249.0,1778.0,1013.5
2195,2226.0,2609.0,2417.5
2215,1017.0,108.0,562.5
2268,515.0,1212.0,863.5
2399,600.0,1417.0,1008.5
2468,1269.0,562.0,915.5
2569,152.0,1746.0,949.0
2659,5125.0,5150.0,5137.5
2756,4527.0,4575.0,4551.0
2785,1550.0,745.0,1147.5
2820,2214.0,2280.0,2247.0
2822,661.0,2302.0,1481.5
2895,2731.0,3084.0,2907.5
2934,1845.0,991.0,1418.0
2968,113.0,1756.0,934.5
3013,516.0,1213.0,864.5
3058,2846.0,2457.0,2651.5
3221,471.0,1650.0,1060.5
3381,3135.0,2529.0,2832.0
3549,1716.0,1668.0,1692.0
3561,2015.0,2011.0,2013.0
3590,156.0,1353.0,754.5
3600,,2734.0,2734.0
3630,1100.0,261.0,680.5
3698,4974.0,4991.0,4982.5
3739,683.0,1345.0,1014.0
3770,538.0,1589.0,1063.5
3782,2705.0,2501.0,2603.0
3788,2449.0,2387.0,2418.0
3825,3183.0,3141.0,3162.0
3843,1657.0,979.0,1318.0
3960,1421.0,836.0,1128.5
4005,29.0,1357.0,693.0
4006,795.0,327.0,561.0
4042,158.0,1347.0,752.5
4046,2042.0,1904.0,1973.0
4085,465.0,1604.0,1034.5
4112,1563.0,798.0,1180.5
4117,107.0,1194.0,650.5
4136,567.0,1211.0,889.0
4183,1997.0,2004.0,2000.5
4184,2252.0,2172.0,2212.0
4193,3580.0,3650.0,3615.0
4237,849.0,314.0,581.5
4305,2145.0,2126.0,2135.5
4321,4227.0,4231.0,4229.0
4353,2990.0,2777.0,2883.5
4391,545.0,1233.0,889.0
4394,1125.0,238.0,681.5
4455,191.0,1389.0,790.0
4533,2658.0,2714.0,2686.0
4542,2376.0,2244.0,2310.0
4553,1239.0,61.0,650.0
4595,3007.0,2802.0,2904.5
4653,2918.0,384.0,1651.0
4669,3885.0,3344.0,3614.5
4697,1569.0,855.0,1212.0
4776,1021.0,45.0,533.0
4860,1639.0,1477.0,1558.0
4867,1643.0,1480.0,1561.5
4922,1535.0,686.0,1110.5
4938,2793.0,2916.0,2854.5
4943,1867.0,1159.0,1513.0
5017,3563.0,3637.0,3600.0
5055,2446.0,2322.0,2384.0
5065,322.0,2066.0,1194.0
5075,4507.0,4463.0,4485.0
5107,1778.0,1439.0,1608.5
5140,2110.0,1931.0,2020.5
5143,2721.0,2927.0,2824.0
5180,3009.0,2741.0,2875.0
average_simulation_TD,1890.909090909091,1865.7387387387387,
