record_id,td_sim_0,td_sim_1,record_atd
18,708.0,740.0,724.0
28,329.0,54.0,191.5
60,735.0,812.0,773.5
70,19.0,131.0,75.0
100,528.0,605.0,566.5
107,177.0,271.0,224.0
111,322.0,52.0,187.0
116,44.0,149.0,96.5
117,136.0,222.0,179.0
129,1557.0,1525.0,1541.0
132,850.0,807.0,828.5
137,740.0,754.0,747.0
168,60.0,139.0,99.5
169,1555.0,1535.0,1545.0
171,1041.0,1066.0,1053.5
188,496.0,522.0,509.0
200,279.0,356.0,317.5
201,74.0,165.0,119.5
205,265.0,360.0,312.5
218,68.0,146.0,107.0
219,1335.0,1314.0,1324.5
222,780.0,819.0,799.5
226,739.0,882.0,810.5
232,1.0,228.0,114.5
235,705.0,782.0,743.5
236,531.0,572.0,551.5
245,38.0,118.0,78.0
252,49.0,142.0,95.5
253,172.0,267.0,219.5
264,896.0,869.0,882.5
265,1803.0,1854.0,1828.5
269,67.0,144.0,105.5
282,59.0,154.0,106.5
293,483.0,517.0,500.0
318,65.0,161.0,113.0
319,869.0,776.0,822.5
332,22.0,129.0,75.5
340,18.0,125.0,71.5
346,1333.0,1407.0,1370.0
347,77.0,184.0,130.5
361,8.0,40.0,24.0
365,360.0,423.0,391.5
369,246.0,321.0,283.5
378,1171.0,1170.0,1170.5
401,351.0,391.0,371.0
415,25.0,127.0,76.0
418,79.0,176.0,127.5
429,14.0,136.0,75.0
432,1762.0,1784.0,1773.0
436,231.0,309.0,270.0
438,517.0,414.0,465.5
446,48.0,152.0,100.0
472,1082.0,1144.0,1113.0
475,1451.0,1516.0,1483.5
479,808.0,737.0,772.5
482,101.0,199.0,150.0
483,875.0,893.0,884.0
505,872.0,865.0,868.5
520,24.0,123.0,73.5
525,349.0,65.0,207.0
528,97.0,190.0,143.5
533,26.0,128.0,77.0
538,212.0,293.0,252.5
554,278.0,339.0,308.5
564,703.0,711.0,707.0
566,1073.0,1118.0,1095.5
567,1707.0,1678.0,1692.5
574,606.0,621.0,613.5
589,1030.0,944.0,987.0
594,784.0,826.0,805.0
597,807.0,846.0,826.5
601,29.0,114.0,71.5
604,975.0,961.0,968.0
610,897.0,979.0,938.0
613,823.0,797.0,810.0
616,235.0,109.0,172.0
621,593.0,3.0,298.0
626,238.0,332.0,285.0
635,950.0,818.0,884.0
649,779.0,821.0,800.0
669,754.0,757.0,755.5
676,797.0,832.0,814.5
693,960.0,925.0,942.5
695,35.0,115.0,75.0
697,1253.0,1273.0,1263.0
719,,227.0,227.0
722,1037.0,956.0,996.5
726,99.0,195.0,147.0
729,1278.0,1294.0,1286.0
732,264.0,348.0,306.0
734,1674.0,1737.0,1705.5
736,291.0,415.0,353.0
754,631.0,663.0,647.0
773,1628.0,1616.0,1622.0
804,345.0,58.0,201.5
810,307.0,331.0,319.0
814,442.0,538.0,490.0
819,1207.0,1244.0,1225.5
826,62.0,180.0,121.0
829,954.0,921.0,937.5
834,848.0,800.0,824.0
837,168.0,263.0,215.5
848,1446.0,1557.0,1501.5
849,763.0,794.0,778.5
862,867.0,910.0,888.5
870,1416.0,1423.0,1419.5
887,90.0,201.0,145.5
888,210.0,282.0,246.0
898,1319.0,1278.0,1298.5
906,296.0,388.0,342.0
912,588.0,583.0,585.5
921,1493.0,1457.0,1475.0
940,70.0,192.0,131.0
946,131.0,81.0,106.0
952,858.0,909.0,883.5
954,124.0,110.0,117.0
969,319.0,386.0,352.5
976,497.0,530.0,513.5
982,39.0,117.0,78.0
994,127.0,233.0,180.0
