record_id,td_sim_0,td_sim_1,record_atd
2,46.0,107.0,76.5
12,58.0,102.0,80.0
17,21.0,56.0,38.5
21,24.0,64.0,44.0
23,147.0,15.0,81.0
27,31.0,84.0,57.5
28,64.0,111.0,87.5
30,102.0,37.0,69.5
31,90.0,35.0,62.5
33,160.0,155.0,157.5
38,19.0,62.0,40.5
49,110.0,124.0,117.0
57,74.0,92.0,83.0
59,10.0,53.0,31.5
62,185.0,181.0,183.0
64,136.0,5.0,70.5
72,132.0,6.0,69.0
73,137.0,21.0,79.0
82,7.0,47.0,27.0
93,,27.0,27.0
97,66.0,78.0,72.0
104,113.0,131.0,122.0
108,18.0,65.0,41.5
110,121.0,12.0,66.5
114,89.0,34.0,61.5
115,70.0,119.0,94.5
116,11.0,28.0,19.5
127,150.0,16.0,83.0
135,27.0,71.0,49.0
138,93.0,63.0,78.0
139,65.0,115.0,90.0
143,56.0,112.0,84.0
150,49.0,90.0,69.5
161,209.0,213.0,211.0
164,263.0,265.0,264.0
168,135.0,8.0,71.5
172,109.0,137.0,123.0
173,112.0,141.0,126.5
174,62.0,114.0,88.0
175,26.0,66.0,46.0
183,140.0,10.0,75.0
187,36.0,79.0,57.5
189,97.0,33.0,65.0
193,3.0,52.0,27.5
196,236.0,259.0,247.5
205,139.0,19.0,79.0
209,16.0,50.0,33.0
215,202.0,202.0,202.0
222,219.0,219.0,219.0
231,5.0,43.0,24.0
240,114.0,164.0,139.0
242,146.0,14.0,80.0
243,152.0,18.0,85.0
247,44.0,93.0,68.5
249,32.0,49.0,40.5
263,149.0,17.0,83.0
265,53.0,99.0,76.0
266,22.0,54.0,38.0
275,25.0,67.0,46.0
278,54.0,100.0,77.0
279,38.0,76.0,57.0
282,275.0,275.0,275.0
283,15.0,61.0,38.0
286,60.0,113.0,86.5
287,8.0,74.0,41.0
289,41.0,75.0,58.0
294,161.0,158.0,159.5
298,23.0,60.0,41.5
300,71.0,120.0,95.5
307,43.0,86.0,64.5
310,96.0,46.0,71.0
314,12.0,44.0,28.0
318,178.0,179.0,178.5
322,95.0,95.0,95.0
344,52.0,98.0,75.0
345,29.0,70.0,49.5
350,57.0,104.0,80.5
353,175.0,175.0,175.0
357,85.0,96.0,90.5
358,13.0,48.0,30.5
average_simulation_TD,86.17721518987342,86.95,
