record_id,td_sim_0,td_sim_1,record_atd
88,89.0,,89.0
90,,30.0,30.0
400,189.0,,189.0
402,,83.0,83.0
466,82.0,,82.0
468,,274.0,274.0
490,106.0,,106.0
492,,43.0,43.0
542,101.0,,101.0
544,,32.0,32.0
588,90.0,,90.0
590,,19.0,19.0
624,231.0,,231.0
626,,172.0,172.0
733,105.0,,105.0
734,100.0,,100.0
735,,16.0,16.0
736,,31.0,31.0
753,302.0,,302.0
755,,264.0,264.0
758,303.0,,303.0
760,,263.0,263.0
1395,348.0,,348.0
1397,,241.0,241.0
1405,140.0,,140.0
1407,,95.0,95.0
1889,104.0,,104.0
1891,,45.0,45.0
1892,70.0,,70.0
1894,,200.0,200.0
1960,93.0,,93.0
1962,,20.0,20.0
2011,59.0,,59.0
2013,,103.0,103.0
2256,192.0,,192.0
2258,,148.0,148.0
2315,,1276.0,1276.0
2378,186.0,,186.0
2380,,72.0,72.0
2399,362.0,,362.0
2401,,386.0,386.0
2476,91.0,,91.0
2478,,26.0,26.0
2642,65.0,,65.0
2644,,202.0,202.0
2771,157.0,,157.0
2773,,112.0,112.0
3146,148.0,,148.0
3148,,89.0,89.0
3190,88.0,,88.0
3192,,37.0,37.0
3235,340.0,,340.0
3237,,187.0,187.0
3381,234.0,,234.0
3383,,210.0,210.0
3534,170.0,,170.0
3536,,125.0,125.0
3626,246.0,,246.0
3628,,230.0,230.0
3938,126.0,,126.0
3940,,28.0,28.0
4062,96.0,,96.0
4064,,21.0,21.0
4247,64.0,,64.0
4249,,203.0,203.0
4427,295.0,,295.0
4429,,247.0,247.0
4598,61.0,,61.0
4600,,222.0,222.0
4603,56.0,,56.0
4605,,209.0,209.0
4835,571.0,,571.0
4837,,539.0,539.0
4851,60.0,,60.0
4853,,215.0,215.0
4934,173.0,,173.0
4936,,106.0,106.0
5000,97.0,,97.0
5002,,22.0,22.0
5044,92.0,,92.0
5046,,25.0,25.0
5157,239.0,,239.0
5159,,218.0,218.0
5343,75.0,,75.0
5345,,179.0,179.0
5397,156.0,,156.0
5399,,114.0,114.0
5506,74.0,,74.0
5508,,126.0,126.0
5669,524.0,,524.0
5671,,518.0,518.0
5760,198.0,,198.0
5762,,78.0,78.0
5805,318.0,,318.0
5807,,284.0,284.0
average_simulation_TD,171.61702127659575,174.6875,
