record_id,td_sim_0,td_sim_1,record_atd
0,16.0,,16.0
2,,17.0,17.0
10,11.0,,11.0
12,41.0,3.0,22.0
14,,36.0,36.0
15,105.0,,105.0
17,,116.0,116.0
19,215.0,,215.0
21,,220.0,220.0
23,68.0,,68.0
25,,62.0,62.0
27,22.0,,22.0
29,,29.0,29.0
34,135.0,,135.0
36,,147.0,147.0
39,26.0,,26.0
41,,10.0,10.0
42,1.0,,1.0
44,,52.0,52.0
59,195.0,,195.0
61,,197.0,197.0
63,6.0,,6.0
65,,5.0,5.0
66,134.0,,134.0
68,,146.0,146.0
77,42.0,,42.0
79,,33.0,33.0
87,,110.0,110.0
95,18.0,,18.0
97,,23.0,23.0
101,60.0,,60.0
103,,69.0,69.0
104,175.0,,175.0
106,,164.0,164.0
107,29.0,,29.0
109,,12.0,12.0
115,159.0,,159.0
117,,167.0,167.0
119,106.0,,106.0
121,,118.0,118.0
124,33.0,,33.0
125,44.0,,44.0
126,233.0,27.0,130.0
127,,44.0,44.0
128,,228.0,228.0
159,107.0,,107.0
160,100.0,,100.0
161,,119.0,119.0
162,,112.0,112.0
176,227.0,,227.0
178,,208.0,208.0
190,28.0,,28.0
192,,11.0,11.0
199,171.0,,171.0
201,,175.0,175.0
206,25.0,,25.0
208,,16.0,16.0
211,57.0,,57.0
212,12.0,,12.0
213,,39.0,39.0
214,,22.0,22.0
215,144.0,,144.0
217,,150.0,150.0
245,74.0,,74.0
247,,71.0,71.0
249,37.0,,37.0
250,75.0,,75.0
251,,32.0,32.0
252,,72.0,72.0
253,45.0,,45.0
255,27.0,45.0,36.0
256,136.0,,136.0
257,,9.0,9.0
258,,145.0,145.0
259,108.0,,108.0
261,,123.0,123.0
average_simulation_TD,83.25641025641026,84.6,
