record_id,td_sim_0,td_sim_1,record_atd
31,125.0,,125.0
33,,92.0,92.0
121,25.0,,25.0
122,40.0,,40.0
123,,22.0,22.0
124,,38.0,38.0
216,26.0,,26.0
218,,18.0,18.0
520,62.0,,62.0
522,,57.0,57.0
526,139.0,,139.0
528,,127.0,127.0
672,293.0,,293.0
674,,243.0,243.0
763,477.0,,477.0
765,,419.0,419.0
810,730.0,,730.0
812,,728.0,728.0
1000,18.0,,18.0
1002,,14.0,14.0
1063,23.0,,23.0
1065,,5.0,5.0
1195,73.0,,73.0
1197,,41.0,41.0
1203,53.0,,53.0
1205,,65.0,65.0
1257,112.0,,112.0
1259,,131.0,131.0
1429,108.0,,108.0
1431,,82.0,82.0
1534,5.0,,5.0
1536,,30.0,30.0
1809,138.0,,138.0
1811,,112.0,112.0
1822,,138.0,138.0
1876,21.0,,21.0
1877,124.0,,124.0
1878,,2.0,2.0
1879,,90.0,90.0
2067,45.0,,45.0
2069,,29.0,29.0
2070,16.0,,16.0
2072,,20.0,20.0
2241,336.0,,336.0
2243,,326.0,326.0
2276,110.0,,110.0
2278,,87.0,87.0
2279,74.0,,74.0
2281,,45.0,45.0
2307,15.0,,15.0
2309,,11.0,11.0
2452,32.0,,32.0
2454,,10.0,10.0
average_simulation_TD,123.84615384615384,110.44444444444444,
