record_id,td_sim_0,td_sim_1,record_atd
9,1156.0,,1156.0
11,,1016.0,1016.0
25,1970.0,,1970.0
27,,1729.0,1729.0
56,635.0,,635.0
58,,520.0,520.0
100,8566.0,,8566.0
102,,7691.0,7691.0
390,266.0,,266.0
392,,160.0,160.0
501,1719.0,,1719.0
503,,1628.0,1628.0
733,15604.0,,15604.0
735,,14747.0,14747.0
743,286.0,,286.0
745,,166.0,166.0
746,22012.0,,22012.0
748,,22240.0,22240.0
802,1271.0,,1271.0
804,,1114.0,1114.0
862,3839.0,,3839.0
864,,3709.0,3709.0
936,880.0,,880.0
938,,886.0,886.0
1031,603.0,,603.0
1033,,391.0,391.0
1068,158.0,,158.0
1070,,186.0,186.0
1149,4137.0,,4137.0
1151,,4248.0,4248.0
1168,25876.0,,25876.0
1170,,25953.0,25953.0
1179,1023.0,,1023.0
1181,,831.0,831.0
1313,684.0,,684.0
1315,,551.0,551.0
1448,18390.0,,18390.0
1450,,17463.0,17463.0
1481,537.0,,537.0
1483,,560.0,560.0
1499,2173.0,,2173.0
1501,,2380.0,2380.0
1661,233.0,,233.0
1663,,124.0,124.0
1721,303.0,,303.0
1723,,207.0,207.0
1783,1614.0,,1614.0
1785,,1446.0,1446.0
1887,245.0,,245.0
1889,,139.0,139.0
1970,17650.0,,17650.0
1972,,18099.0,18099.0
2041,3610.0,,3610.0
2043,,3241.0,3241.0
2095,30301.0,,30301.0
2097,,30440.0,30440.0
2147,11011.0,,11011.0
2149,,12357.0,12357.0
2176,766.0,,766.0
2178,,611.0,611.0
2246,5111.0,,5111.0
2248,,5074.0,5074.0
2433,3035.0,,3035.0
2435,,3166.0,3166.0
2499,12429.0,,12429.0
2501,,12140.0,12140.0
2614,7162.0,,7162.0
2616,,6981.0,6981.0
2657,271.0,,271.0
2659,,231.0,231.0
2691,505.0,,505.0
2693,,399.0,399.0
2722,987.0,,987.0
2724,,863.0,863.0
2781,6386.0,,6386.0
2783,,5921.0,5921.0
3194,226.0,,226.0
3196,,103.0,103.0
3356,4329.0,,4329.0
3358,,4080.0,4080.0
3513,5475.0,,5475.0
3515,,5672.0,5672.0
3535,1507.0,,1507.0
3537,,1475.0,1475.0
3679,854.0,,854.0
3681,,786.0,786.0
3856,314.0,,314.0
3858,,113.0,113.0
4073,7500.0,,7500.0
4075,,7481.0,7481.0
4150,652.0,,652.0
4152,,533.0,533.0
4186,3773.0,,3773.0
4188,,3549.0,3549.0
4196,794.0,,794.0
4198,,577.0,577.0
4240,8078.0,,8078.0
4242,,8043.0,8043.0
4287,7380.0,,7380.0
4289,,7447.0,7447.0
4378,7554.0,,7554.0
4380,,7368.0,7368.0
4408,5909.0,,5909.0
4410,6730.0,5728.0,6229.0
4412,,6639.0,6639.0
4541,,20330.0,20330.0
4595,3093.0,,3093.0
4597,,3204.0,3204.0
4623,3143.0,,3143.0
4625,,3172.0,3172.0
4664,19996.0,,19996.0
4666,,19019.0,19019.0
4723,4565.0,,4565.0
4725,,4477.0,4477.0
4827,3404.0,,3404.0
4829,,2985.0,2985.0
4902,1624.0,,1624.0
4904,,1563.0,1563.0
4917,2215.0,,2215.0
4919,,2168.0,2168.0
5001,496.0,,496.0
5003,,386.0,386.0
5068,9791.0,,9791.0
5070,,10124.0,10124.0
5337,215.0,,215.0
5339,,99.0,99.0
5363,3516.0,,3516.0
5365,,3328.0,3328.0
5400,155.0,,155.0
5402,,232.0,232.0
5405,38.0,,38.0
5407,,20585.0,20585.0
5455,342.0,,342.0
5457,,307.0,307.0
5460,2192.0,,2192.0
5462,,2248.0,2248.0
5463,1979.0,,1979.0
5465,,1875.0,1875.0
5474,8973.0,,8973.0
5476,,8875.0,8875.0
5615,252.0,,252.0
5617,,132.0,132.0
5618,4910.0,,4910.0
5620,,5197.0,5197.0
5626,7542.0,,7542.0
5628,,7544.0,7544.0
5688,3439.0,,3439.0
5690,,3647.0,3647.0
5829,352.0,,352.0
5831,,296.0,296.0
5869,138.0,,138.0
5871,,373.0,373.0
5969,1036.0,,1036.0
5971,,812.0,812.0
6096,205.0,,205.0
6098,,83.0,83.0
6132,4080.0,,4080.0
6134,,4224.0,4224.0
6182,285.0,,285.0
6184,,155.0,155.0
6297,4631.0,,4631.0
6299,,4415.0,4415.0
6338,1703.0,,1703.0
6340,,1559.0,1559.0
6371,22588.0,,22588.0
6373,,22422.0,22422.0
6475,3655.0,,3655.0
6477,,3298.0,3298.0
6581,17663.0,,17663.0
6583,,18112.0,18112.0
6820,4164.0,,4164.0
6822,17371.0,3658.0,10514.5
6824,,17165.0,17165.0
6825,7304.0,,7304.0
6827,,7471.0,7471.0
6847,1011.0,,1011.0
6849,,911.0,911.0
6898,264.0,,264.0
6900,,162.0,162.0
6916,182.0,,182.0
6918,,93.0,93.0
6938,2804.0,,2804.0
6940,,2589.0,2589.0
6967,376.0,,376.0
6969,,206.0,206.0
7219,4419.0,,4419.0
7221,,4693.0,4693.0
7340,2095.0,,2095.0
7342,,2266.0,2266.0
7349,513.0,,513.0
7351,,8.0,8.0
7370,1329.0,,1329.0
7372,,1166.0,1166.0
7403,336.0,,336.0
7405,,269.0,269.0
7420,1653.0,,1653.0
7422,6691.0,1170.0,3930.5
7424,,6586.0,6586.0
7439,2573.0,,2573.0
7441,,2498.0,2498.0
7582,160.0,,160.0
7584,,134.0,134.0
7620,212.0,,212.0
7622,,86.0,86.0
7659,10020.0,,10020.0
7661,,9702.0,9702.0
7664,15538.0,,15538.0
7666,,15185.0,15185.0
7695,29240.0,,29240.0
7697,,29719.0,29719.0
7720,2256.0,,2256.0
7722,,1790.0,1790.0
7751,871.0,,871.0
7753,,716.0,716.0
