record_id,td_sim_0,td_sim_1,record_atd
54,101.0,,101.0
56,,78.0,78.0
98,61.0,,61.0
100,,51.0,51.0
143,234.0,,234.0
145,,292.0,292.0
232,143.0,,143.0
234,,99.0,99.0
383,49.0,,49.0
385,,34.0,34.0
420,71.0,,71.0
422,,59.0,59.0
478,113.0,,113.0
480,,117.0,117.0
640,98.0,,98.0
642,,109.0,109.0
815,79.0,,79.0
817,,82.0,82.0
858,39.0,,39.0
860,,24.0,24.0
898,116.0,,116.0
900,,113.0,113.0
936,46.0,,46.0
938,,32.0,32.0
1015,96.0,,96.0
1017,,96.0,96.0
1042,62.0,,62.0
1044,,55.0,55.0
1145,133.0,,133.0
1147,,129.0,129.0
1184,177.0,,177.0
1186,,127.0,127.0
1246,77.0,,77.0
1248,,75.0,75.0
1289,121.0,,121.0
1291,,144.0,144.0
1405,104.0,,104.0
1407,,94.0,94.0
1412,453.0,,453.0
1414,,357.0,357.0
1632,886.0,,886.0
1634,,877.0,877.0
1650,534.0,,534.0
1652,,537.0,537.0
1779,17.0,,17.0
1781,,23.0,23.0
1878,47.0,,47.0
1880,,47.0,47.0
1893,139.0,,139.0
1895,,171.0,171.0
1903,84.0,,84.0
1905,,71.0,71.0
1927,55.0,,55.0
1929,,38.0,38.0
1988,38.0,,38.0
1990,,22.0,22.0
2047,161.0,,161.0
2049,,103.0,103.0
2126,221.0,,221.0
2127,110.0,,110.0
2128,,160.0,160.0
2129,,137.0,137.0
2226,1408.0,,1408.0
2228,,1447.0,1447.0
2337,142.0,,142.0
2339,,150.0,150.0
2404,16.0,,16.0
2406,,7.0,7.0
2409,140.0,,140.0
2411,,146.0,146.0
2512,4.0,,4.0
2514,,61.0,61.0
2543,3.0,,3.0
2545,,66.0,66.0
2696,394.0,,394.0
2698,,316.0,316.0
2720,290.0,,290.0
2722,,278.0,278.0
2808,239.0,,239.0
2810,,244.0,244.0
2849,100.0,,100.0
2851,,107.0,107.0
2944,231.0,,231.0
2946,,256.0,256.0
2961,515.0,,515.0
2963,,453.0,453.0
2978,946.0,,946.0
2980,,1070.0,1070.0
3023,845.0,,845.0
3025,,768.0,768.0
3040,15.0,,15.0
3042,,14.0,14.0
3086,751.0,,751.0
3088,,710.0,710.0
3372,41.0,,41.0
3374,,27.0,27.0
3382,26.0,,26.0
3384,,5.0,5.0
3447,23.0,,23.0
3449,,4.0,4.0
3475,27.0,,27.0
3477,,12.0,12.0
3523,135.0,,135.0
3525,,133.0,133.0
3538,60.0,,60.0
3540,,49.0,49.0
3594,288.0,,288.0
3596,,282.0,282.0
3901,1900.0,,1900.0
3903,,1761.0,1761.0
3967,157.0,,157.0
3969,,186.0,186.0
3997,43.0,,43.0
3999,,30.0,30.0
4016,99.0,,99.0
4018,,119.0,119.0
4080,1827.0,,1827.0
4082,,1815.0,1815.0
4105,63.0,,63.0
4107,,52.0,52.0
4124,186.0,,186.0
4126,,162.0,162.0
4137,1539.0,,1539.0
4139,,1552.0,1552.0
4275,,142.0,142.0
4323,299.0,,299.0
4325,,317.0,317.0
4382,111.0,,111.0
4384,,138.0,138.0
4447,1301.0,,1301.0
4449,,1241.0,1241.0
4485,7.0,,7.0
4487,,43.0,43.0
4561,14.0,,14.0
4563,,26.0,26.0
4639,75.0,,75.0
4641,,76.0,76.0
4730,9.0,,9.0
4732,,140.0,140.0
4769,89.0,,89.0
4771,,79.0,79.0
4848,40.0,,40.0
4850,,25.0,25.0
4867,287.0,,287.0
4869,,280.0,280.0
5020,25.0,,25.0
5022,,6.0,6.0
5041,90.0,,90.0
5043,,95.0,95.0
5088,228.0,,228.0
5090,,205.0,205.0
5134,54.0,,54.0
5136,,35.0,35.0
5173,97.0,,97.0
5175,,68.0,68.0
5258,57.0,,57.0
5260,,40.0,40.0
5480,255.0,,255.0
5482,,295.0,295.0
5488,36.0,,36.0
5490,,19.0,19.0
5509,1319.0,,1319.0
5511,,1250.0,1250.0
5514,411.0,,411.0
5516,,404.0,404.0
5634,1297.0,,1297.0
5636,,1233.0,1233.0
5744,681.0,,681.0
5746,,632.0,632.0
5837,2248.0,,2248.0
5839,,2165.0,2165.0
5843,638.0,,638.0
5845,,666.0,666.0
5897,171.0,,171.0
5899,,198.0,198.0
6028,59.0,,59.0
6030,,50.0,50.0
6108,21.0,,21.0
6110,683.0,81.0,382.0
6112,,654.0,654.0
6137,52.0,,52.0
6139,,20.0,20.0
6277,162.0,,162.0
6279,,165.0,165.0
6329,370.0,,370.0
6331,,351.0,351.0
6364,24.0,,24.0
6366,,9.0,9.0
6375,88.0,,88.0
6377,,84.0,84.0
6546,309.0,,309.0
6548,,309.0,309.0
6689,91.0,,91.0
6691,,91.0,91.0
6712,354.0,,354.0
6714,,369.0,369.0
6754,45.0,,45.0
6756,,31.0,31.0
6880,74.0,,74.0
6882,,67.0,67.0
7087,189.0,,189.0
7089,,134.0,134.0
7129,64.0,,64.0
7131,,56.0,56.0
7177,42.0,,42.0
7179,,28.0,28.0
7228,85.0,,85.0
7230,,69.0,69.0
7247,409.0,,409.0
7249,,504.0,504.0
7251,725.0,,725.0
7253,,687.0,687.0
7273,948.0,,948.0
7275,,1071.0,1071.0
7604,489.0,,489.0
7606,,499.0,499.0
7630,69.0,,69.0
7632,,46.0,46.0
7633,50.0,,50.0
7635,,39.0,39.0
average_simulation_TD,294.1727272727273,287.0900900900901,
