record_id,td_sim_0,td_sim_1,record_atd
422,148.0,,148.0
424,,187.0,187.0
749,1019.0,,1019.0
751,,949.0,949.0
979,48.0,,48.0
981,,23.0,23.0
1059,147.0,,147.0
1061,,174.0,174.0
1096,196.0,,196.0
1098,,201.0,201.0
1142,35.0,,35.0
1144,,4.0,4.0
1167,42.0,,42.0
1169,,18.0,18.0
1777,46.0,,46.0
1779,,14.0,14.0
1802,4.0,,4.0
1804,,40.0,40.0
2007,34.0,,34.0
2009,,5.0,5.0
2468,458.0,,458.0
2470,,457.0,457.0
2776,,330.0,330.0
2782,72.0,,72.0
2784,,56.0,56.0
3295,309.0,,309.0
3297,,333.0,333.0
3326,29.0,,29.0
3328,,34.0,34.0
3330,54.0,,54.0
3332,,62.0,62.0
3935,36.0,,36.0
3937,,7.0,7.0
4072,77.0,,77.0
4074,,69.0,69.0
4260,12.0,,12.0
4262,,50.0,50.0
average_simulation_TD,153.66666666666666,158.57894736842104,
