record_id,td_sim_0,td_sim_1,record_atd
21,66.0,,66.0
23,,83.0,83.0
42,971.0,,971.0
44,,977.0,977.0
45,358.0,,358.0
47,,277.0,277.0
107,231.0,,231.0
109,,147.0,147.0
124,1144.0,,1144.0
126,,1160.0,1160.0
256,572.0,,572.0
258,,534.0,534.0
497,86.0,,86.0
498,527.0,,527.0
499,,179.0,179.0
500,,357.0,357.0
564,356.0,,356.0
566,,274.0,274.0
753,254.0,,254.0
755,,131.0,131.0
996,755.0,,755.0
998,,880.0,880.0
1214,125.0,,125.0
1216,,280.0,280.0
1345,14.0,,14.0
1347,,137.0,137.0
1478,22.0,,22.0
1480,,709.0,709.0
1564,250.0,,250.0
1565,221.0,,221.0
1566,,36.0,36.0
1567,,145.0,145.0
1597,1230.0,,1230.0
1599,,1202.0,1202.0
1664,278.0,,278.0
1666,,72.0,72.0
1713,2711.0,,2711.0
1715,,2744.0,2744.0
1794,731.0,,731.0
1796,,905.0,905.0
1826,,631.0,631.0
2408,417.0,,417.0
2410,,246.0,246.0
2597,2064.0,,2064.0
2599,,1957.0,1957.0
2672,405.0,,405.0
2674,,315.0,315.0
2707,1487.0,,1487.0
2709,,1365.0,1365.0
2803,311.0,,311.0
2805,,8.0,8.0
2812,216.0,,216.0
2814,,141.0,141.0
3020,987.0,,987.0
3022,,983.0,983.0
3108,4604.0,,4604.0
3110,,4480.0,4480.0
3158,352.0,,352.0
3160,,258.0,258.0
3162,4067.0,,4067.0
3164,,4346.0,4346.0
3286,158.0,,158.0
3288,,392.0,392.0
3386,368.0,,368.0
3388,,243.0,243.0
3432,247.0,,247.0
3434,,32.0,32.0
3522,1620.0,,1620.0
3524,,1512.0,1512.0
3824,313.0,,313.0
3826,,74.0,74.0
4009,316.0,,316.0
4011,,95.0,95.0
4079,235.0,,235.0
4081,,34.0,34.0
4309,1752.0,,1752.0
4311,,1967.0,1967.0
4943,219.0,,219.0
4945,,140.0,140.0
5127,246.0,,246.0
5129,,30.0,30.0
5230,239.0,,239.0
5232,,25.0,25.0
5238,288.0,,288.0
5240,,38.0,38.0
5333,481.0,,481.0
5335,,367.0,367.0
5378,699.0,,699.0
5380,,656.0,656.0
5414,1774.0,,1774.0
5416,,1983.0,1983.0
5823,732.0,,732.0
5825,,906.0,906.0
5852,222.0,,222.0
5854,,20.0,20.0
6020,6.0,,6.0
6022,,625.0,625.0
6035,319.0,,319.0
6037,,222.0,222.0
6045,215.0,,215.0
6047,,177.0,177.0
6441,130.0,,130.0
6443,,279.0,279.0
6643,16.0,,16.0
6645,,196.0,196.0
6738,242.0,,242.0
6740,,21.0,21.0
6793,294.0,,294.0
6795,,48.0,48.0
7008,217.0,,217.0
7010,,142.0,142.0
7052,80.0,,80.0
7054,,250.0,250.0
7151,4351.0,,4351.0
7153,,4691.0,4691.0
7154,712.0,,712.0
7156,,657.0,657.0
7191,862.0,,862.0
7193,,842.0,842.0
7246,53.0,,53.0
7248,,116.0,116.0
7407,430.0,,430.0
7409,,17.0,17.0
7489,238.0,,238.0
7491,,23.0,23.0
7693,240.0,,240.0
7695,,26.0,26.0
7768,132.0,,132.0
7770,,247.0,247.0
7774,241.0,,241.0
7776,,22.0,22.0
7980,103.0,,103.0
7982,,134.0,134.0
8617,2590.0,,2590.0
8619,,2554.0,2554.0
8635,50.0,,50.0
8637,,119.0,119.0
8665,154.0,,154.0
8667,,415.0,415.0
8830,1466.0,,1466.0
8832,,1718.0,1718.0
9072,1467.0,,1467.0
9074,,1719.0,1719.0
average_simulation_TD,708.8591549295775,690.7361111111111,
