record_id,td_sim_0,td_sim_1,record_atd
51,87.0,,87.0
53,,130.0,130.0
116,73.0,,73.0
118,,32.0,32.0
462,51.0,,51.0
464,,33.0,33.0
730,110.0,,110.0
732,,138.0,138.0
767,43.0,,43.0
769,,105.0,105.0
831,85.0,,85.0
833,,106.0,106.0
902,26.0,,26.0
904,,86.0,86.0
953,71.0,,71.0
955,,36.0,36.0
1033,77.0,,77.0
1035,,120.0,120.0
1180,78.0,,78.0
1182,,121.0,121.0
1248,48.0,,48.0
1250,,112.0,112.0
1356,65.0,,65.0
1358,,70.0,70.0
1429,160.0,,160.0
1431,,189.0,189.0
1514,107.0,,107.0
1516,,131.0,131.0
1556,,119.0,119.0
1565,243.0,,243.0
1567,,261.0,261.0
1746,27.0,,27.0
1748,,88.0,88.0
1881,5.0,,5.0
1883,,176.0,176.0
1994,91.0,,91.0
1996,,38.0,38.0
2279,76.0,,76.0
2281,,117.0,117.0
2496,55.0,,55.0
2498,,41.0,41.0
2545,2.0,,2.0
2547,,92.0,92.0
2624,62.0,,62.0
2626,,95.0,95.0
2740,121.0,,121.0
2742,,149.0,149.0
2803,102.0,,102.0
2805,,73.0,73.0
3076,64.0,,64.0
3078,,69.0,69.0
3314,98.0,,98.0
3316,,155.0,155.0
3442,635.0,,635.0
3444,,693.0,693.0
3608,74.0,,74.0
3610,,118.0,118.0
3680,45.0,,45.0
3682,,76.0,76.0
3769,38.0,,38.0
3771,,83.0,83.0
3842,61.0,,61.0
3844,,72.0,72.0
4154,125.0,,125.0
4156,,78.0,78.0
4201,106.0,,106.0
4203,,124.0,124.0
4269,68.0,,68.0
4271,,114.0,114.0
4327,72.0,,72.0
4329,,62.0,62.0
4377,83.0,,83.0
4379,,45.0,45.0
4461,34.0,,34.0
4463,,80.0,80.0
average_simulation_TD,91.02702702702703,116.5,
