record_id,td_sim_0,td_sim_1,record_atd
4,77.0,,77.0
6,,3.0,3.0
7,402.0,,402.0
9,,412.0,412.0
21,652.0,,652.0
23,,640.0,640.0
24,345.0,,345.0
26,,345.0,345.0
33,92.0,,92.0
35,,66.0,66.0
36,110.0,,110.0
38,,119.0,119.0
41,105.0,,105.0
43,,51.0,51.0
53,190.0,,190.0
55,,208.0,208.0
65,178.0,,178.0
67,,148.0,148.0
77,202.0,,202.0
79,,225.0,225.0
81,21.0,,21.0
83,,14.0,14.0
100,48.0,,48.0
102,,28.0,28.0
103,49.0,,49.0
105,,80.0,80.0
106,20.0,,20.0
108,,15.0,15.0
109,124.0,,124.0
110,85.0,,85.0
111,127.0,121.0,124.0
112,80.0,65.0,72.5
113,,120.0,120.0
114,,86.0,86.0
125,305.0,,305.0
127,,316.0,316.0
128,231.0,,231.0
130,,214.0,214.0
132,26.0,,26.0
134,,16.0,16.0
142,72.0,,72.0
144,134.0,83.0,108.5
146,,125.0,125.0
153,66.0,,66.0
155,,44.0,44.0
166,46.0,,46.0
168,,81.0,81.0
181,45.0,,45.0
183,,23.0,23.0
192,87.0,,87.0
194,,95.0,95.0
195,22.0,,22.0
196,31.0,,31.0
197,,18.0,18.0
198,,101.0,101.0
199,153.0,,153.0
201,,162.0,162.0
206,197.0,,197.0
208,,209.0,209.0
244,86.0,,86.0
246,,88.0,88.0
249,47.0,,47.0
251,,84.0,84.0
256,125.0,,125.0
257,256.0,,256.0
258,,118.0,118.0
259,,270.0,270.0
262,150.0,,150.0
264,,141.0,141.0
290,131.0,,131.0
292,14.0,133.0,73.5
293,234.0,,234.0
294,,46.0,46.0
295,,231.0,231.0
300,79.0,,79.0
302,,93.0,93.0
308,230.0,,230.0
310,,236.0,236.0
313,113.0,,113.0
315,,56.0,56.0
317,386.0,,386.0
319,,388.0,388.0
332,53.0,,53.0
334,19.0,6.0,12.5
335,215.0,,215.0
336,,11.0,11.0
337,,227.0,227.0
339,196.0,,196.0
341,,216.0,216.0
361,,206.0,206.0
362,62.0,,62.0
364,,30.0,30.0
379,167.0,,167.0
381,,201.0,201.0
392,219.0,,219.0
394,,219.0,219.0
403,42.0,,42.0
405,,36.0,36.0
410,214.0,,214.0
412,,167.0,167.0
418,356.0,,356.0
420,,349.0,349.0
422,54.0,,54.0
424,,7.0,7.0
429,271.0,,271.0
431,,274.0,274.0
437,430.0,,430.0
438,10.0,,10.0
439,,458.0,458.0
440,193.0,52.0,122.5
441,114.0,,114.0
442,,215.0,215.0
443,370.0,109.0,239.5
444,89.0,,89.0
445,,365.0,365.0
446,55.0,94.0,74.5
447,298.0,,298.0
448,,35.0,35.0
449,,271.0,271.0
456,18.0,,18.0
458,154.0,10.0,82.0
460,,161.0,161.0
477,137.0,,137.0
479,,73.0,73.0
492,296.0,,296.0
494,,288.0,288.0
497,52.0,,52.0
499,,50.0,50.0
500,272.0,,272.0
502,,276.0,276.0
504,74.0,,74.0
506,,41.0,41.0
518,51.0,,51.0
520,,13.0,13.0
522,43.0,,43.0
524,,29.0,29.0
542,60.0,,60.0
544,,38.0,38.0
560,426.0,,426.0
562,,427.0,427.0
565,83.0,,83.0
567,,107.0,107.0
569,163.0,,163.0
571,,164.0,164.0
574,226.0,,226.0
576,,246.0,246.0
608,294.0,,294.0
610,,302.0,302.0
616,487.0,,487.0
617,128.0,,128.0
618,,484.0,484.0
619,,123.0,123.0
622,67.0,,67.0
624,,77.0,77.0
637,354.0,,354.0
639,,341.0,341.0
653,64.0,,64.0
655,,33.0,33.0
666,16.0,,16.0
668,,12.0,12.0
675,276.0,,276.0
677,,308.0,308.0
679,395.0,,395.0
681,,399.0,399.0
714,37.0,,37.0
716,,76.0,76.0
718,112.0,,112.0
720,,89.0,89.0
average_simulation_TD,157.7840909090909,155.41573033707866,
